#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Magnetic field strength: 0.07 T
#	Number of Averages: 3
#	Phi End Position: 0 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 1 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
0.0,-90.0,26.31999,7.04091,-90.11245343455688,-87.65644270886979,-0.0028324108398437436,-5.559130859367212e-06,-0.06920888461914063,8.313566347434922e-06,9.677906259393016e-06,1.1262013458297388e-05,0.06926681956243638,-2.1146275607116243,-1.89208984375
0.0,-89.0,26.31999,7.34738,-66.59852996591091,-87.46042894156001,-0.0028178478515624946,0.0012194774902343798,-0.06922668043619792,7.314086687580137e-06,1.0922347653867869e-05,2.042945140401165e-06,0.06929473772285463,-2.1073268943330454,-1.88446044921875
0.0,-88.0,26.31999,7.65563,-49.228820026733835,-86.93892410059716,-0.0028019766764322876,0.002416142936197921,-0.06918597405598959,1.6264071067940597e-05,1.549338085900311e-05,1.3554423082592056e-05,0.06928483113971971,-2.0980684228897966,-1.87469482421875
0.0,-87.0,26.31999,7.96389,-37.21224888449602,-86.15511605672262,-0.002813530631510408,0.003705044710286464,-0.0692227192545573,4.652598928775593e-06,3.0344747555311778e-05,1.2140048907042886e-05,0.0693788741038288,-2.0869478021348757,-1.8646240234375
0.0,-86.0,26.31999,8.27102,-30.01770493626847,-85.35893077810358,-0.0028099743164062435,0.00486354690755209,-0.06919158318684897,1.3863722498151004e-05,9.368452240400687e-06,1.1501358273934458e-05,0.06941919927572965,-2.0739888650406213,-1.851806640625
0.0,-85.0,26.31999,8.57595,-24.88172906142289,-84.45656618944385,-0.0028224315917968687,0.006085489046223962,-0.06911758416341147,2.3966652870031194e-05,1.4102886040388413e-05,2.531352065296067e-05,0.06944234830136689,-2.0592173565737832,-1.84112548828125
0.0,-84.0,26.31999,8.87778,-21.372799156326053,-83.5754867689491,-0.0028334687825520752,0.007240276236979172,-0.06904871616210938,1.2112760924998521e-05,1.35432361646898e-05,1.794372419149034e-05,0.06948507284996545,-2.04269829923064,-1.820068359375
0.0,-83.0,26.31999,9.17563,-18.46901794321137,-82.64303891659118,-0.0028209952311197876,0.008446241406250004,-0.06896941725260418,9.679483477398055e-06,7.687204481917929e-06,1.9053657553254385e-05,0.06954191199665472,-2.0245464834013784,-1.80572509765625
0.0,-82.0,26.31999,9.46899,-16.370143314437335,-81.71036220854423,-0.0028286347981770787,0.009629399772135422,-0.06888327223307293,4.357933901579479e-06,1.6661353307396562e-05,1.158169426229251e-05,0.06961057181440687,-2.0049204763545543,-1.78192138671875
0.0,-81.0,26.31999,9.75694,-14.58243656807159,-80.77455857379498,-0.002810065869140619,0.01080158198242188,-0.06871749871419272,1.5533937697547046e-05,7.024254674616513e-06,1.9690321269388794e-05,0.06961799532482221,-1.9840090031401154,-1.75994873046875
0.0,-80.0,26.31999,10.03913,-13.264697068674986,-79.83230949971109,-0.002823078564453123,0.011975416210937506,-0.06860288282877604,6.203119968185812e-06,1.3800201347685776e-05,1.1528636097403763e-05,0.06969745977024581,-1.962015969607709,-1.73919677734375
0.0,-79.0,26.31999,10.31494,-11.975257357784509,-78.86537359944481,-0.002797187451171868,0.013187733105468754,-0.06849470004882814,2.3198397975863707e-05,1.3572869359555093e-05,1.4312350681857728e-05,0.06980877091653317,-1.9391477540824877,-1.71844482421875
0.0,-78.0,26.31999,10.58422,-10.985657605182269,-77.92436712897573,-0.0027832978841145772,0.014337987418619795,-0.06827085564778647,1.4455298813020744e-05,1.0915095603891043e-05,1.2365297203697055e-05,0.06981571715028868,-1.9156042417630725,-1.6925048828125
0.0,-77.0,26.31999,10.84656,-10.133260090676076,-76.95693053911029,-0.0027746085123697833,0.01552436030273438,-0.06807542107747395,1.1178626589432216e-05,9.462972981160627e-06,8.548749278462207e-06,0.06987823101711588,-1.891573618567279,-1.668701171875
0.0,-76.0,26.31999,11.10166,-9.44625401046842,-75.96379472842717,-0.0027854137695312426,0.01674143387044271,-0.06788646640625001,1.776076133781428e-05,1.1002998796416878e-05,1.760513773239255e-05,0.0699757562233722,-1.8672301520469137,-1.64459228515625
0.0,-75.0,26.31999,11.34921,-8.752806869768529,-75.00884591090288,-0.0027561433430989524,0.01790111811523438,-0.06763685906575521,1.9342318893613087e-05,1.656159095548835e-05,2.642332780047942e-06,0.07001993330605304,-1.842733919087924,-1.61956787109375
0.0,-74.0,26.31999,11.58963,-8.221870696975973,-74.01794197509447,-0.002757705843098953,0.019085543977864588,-0.06732998854166668,2.026566971782624e-05,8.727885543756184e-06,1.4606696385907043e-05,0.0700370636696673,-1.8182315102455133,-1.5948486328125
0.0,-73.0,26.31999,11.82218,-7.709658985832537,-72.98416765231981,-0.002753944042968743,0.020342780712890626,-0.06707888990885416,1.0336524308535326e-05,2.1743383571394487e-05,1.5488853438670298e-05,0.07014977124929728,-1.7938569821265429,-1.5728759765625
0.0,-72.0,26.31999,12.04754,-7.15090683871245,-72.00593123883769,-0.002697911735026035,0.021504336702473963,-0.06672587477213544,1.7200292055859546e-05,8.681880478941174e-06,2.1260026696426492e-05,0.07015737729455158,-1.7697326172591532,-1.54693603515625
0.0,-71.0,26.31999,12.2653,-6.762497772603776,-71.01213174949952,-0.0026901521321614544,0.022686583610026043,-0.06639388624674479,1.3045209002899126e-05,2.518417463787846e-05,4.773936016535479e-06,0.07021442960912352,-1.7459693073729778,-1.5240478515625
