#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: probe_wire_side_1.55mm_shim
#	Center Calibration File: ./proj_field_center_calib.csv
#	Azimuthal Angle: 0 deg
#	Magnet Voltage: -7 V
#	Queued Time: 2019-02-08 11:30:19
#	Start Y position: -14.41 mm
#	Y position step: 0.01 mm
#	Stop Y position: 14.41 mm
#Data:
R,Xfield,Yfield,Zfield,elapsed_time
-14.41,0.003141412353515625,-0.007456353759765624,-0.15103111572265626,8.711012363433838
-14.4,0.003206463623046875,-0.00741527099609375,-0.1511146240234375,9.401013135910034
-14.39,0.0032018737792968753,-0.007479583740234375,-0.15103392333984378,10.101014375686646
-14.38,0.0031681030273437503,-0.0075326171875,-0.15101877441406253,10.961015462875366
-14.370000000000001,0.0031584228515625003,-0.00765833740234375,-0.15102827758789064,15.78202223777771
-14.360000000000001,0.0031361145019531255,-0.007670672607421875,-0.15110782470703127,16.64202332496643
-14.350000000000001,0.0032259582519531256,-0.0077775512695312495,-0.15103529052734377,17.492024660110474
-14.340000000000002,0.003218646240234375,-0.00793740234375,-0.1510635437011719,18.352025747299194
-14.330000000000002,0.003142578125,-0.0080150146484375,-0.15111160888671876,19.202027082443237
-14.320000000000002,0.0031280212402343753,-0.00807532958984375,-0.1511598571777344,20.062028169631958
-14.310000000000002,0.0031510192871093755,-0.00820096435546875,-0.15110634765625,20.932029485702515
-14.300000000000002,0.0031134033203125003,-0.008279125976562501,-0.15110368652343753,21.802030563354492
-14.290000000000003,0.0031548400878906252,-0.00840050048828125,-0.15115837402343751,22.652031660079956
-14.280000000000003,0.0031424865722656254,-0.00854080810546875,-0.1511959228515625,23.492033004760742
-14.270000000000003,0.003115411376953125,-0.008648541259765627,-0.15125283813476564,24.342034101486206
-14.260000000000003,0.003118768310546875,-0.008739312744140625,-0.15121853637695315,25.19203543663025
-14.250000000000004,0.0030822326660156253,-0.008879876708984375,-0.15124993896484376,26.062036752700806
-14.240000000000004,0.0030877868652343754,-0.00893365478515625,-0.15129563598632811,26.91203784942627
-14.230000000000004,0.0031014343261718752,-0.0090725341796875,-0.15131303710937502,27.752038955688477
-14.220000000000004,0.003057232666015625,-0.009196624755859376,-0.15126995239257812,28.60304021835327
-14.210000000000004,0.0030768005371093754,-0.0093216064453125,-0.15125291748046876,29.453041315078735
-14.200000000000005,0.00311749267578125,-0.009392266845703125,-0.151335302734375,30.313042640686035
-14.190000000000005,0.0030207519531250003,-0.009535858154296875,-0.15136444702148438,31.19304394721985
-14.180000000000005,0.0031014221191406253,-0.009613220214843751,-0.15136940917968753,32.04304504394531
-14.170000000000005,0.003110980224609375,-0.00973389892578125,-0.15133816528320312,32.893046379089355
-14.160000000000005,0.00306322021484375,-0.009827496337890625,-0.1514095947265625,33.76304745674133
-14.150000000000006,0.003036175537109375,-0.009941656494140624,-0.15139733276367187,34.62304878234863
-14.140000000000006,0.0030819702148437503,-0.010025628662109376,-0.15138192138671877,35.484050035476685
-14.130000000000006,0.00304703369140625,-0.010212658691406251,-0.15145298461914064,40.314056634902954
-14.120000000000006,0.0030141052246093754,-0.010282623291015626,-0.15145379638671874,41.16608023643494
-14.110000000000007,0.0030682128906250002,-0.010324755859375,-0.15145086059570312,42.02712965011597
-14.100000000000007,0.003048046875,-0.010506622314453125,-0.1514780517578125,46.867406368255615
-14.090000000000007,0.003074578857421875,-0.01061954345703125,-0.1515343688964844,47.73045587539673
-14.080000000000007,0.00304991455078125,-0.010707550048828125,-0.15155604248046875,48.59150505065918
-14.070000000000007,0.0030162597656250003,-0.01079307861328125,-0.15156641235351564,49.4565544128418
-14.060000000000008,0.0030194458007812503,-0.010927923583984376,-0.1515827819824219,50.321603775024414
-14.050000000000008,0.003014862060546875,-0.01101170654296875,-0.15154645996093752,51.18465328216553
-14.040000000000008,0.0030141418457031253,-0.011140484619140627,-0.15155274047851564,52.04770278930664
-14.030000000000008,0.003023492431640625,-0.011252215576171877,-0.15155730590820315,52.91275215148926
-14.020000000000008,0.003015594482421875,-0.011340551757812501,-0.15161101684570313,53.78780245780945
-14.010000000000009,0.00301099853515625,-0.011444366455078125,-0.15164818115234377,54.64185118675232
-14.000000000000009,0.002964593505859375,-0.011548577880859376,-0.1516250427246094,55.50690054893494
-13.990000000000009,0.0029563476562500003,-0.011663293457031251,-0.15163095092773438,56.36995005607605
-13.98000000000001,0.002924029541015625,-0.011790057373046876,-0.15169774780273437,57.239999771118164
-13.97000000000001,0.00293909912109375,-0.011841033935546877,-0.15169341430664063,58.10604929924011
-13.96000000000001,0.0029701538085937502,-0.011947637939453125,-0.15172030639648437,58.98709964752197
-13.95000000000001,0.0029792907714843754,-0.012108154296875,-0.1516942626953125,59.84514856338501
-13.94000000000001,0.00293616943359375,-0.01222904052734375,-0.15176214599609375,60.70819807052612
-13.93000000000001,0.0029228027343750004,-0.012319482421875,-0.1517614501953125,61.57224750518799
