#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: neg_v
#	Center Calibration File: ./proj_field_center_calib_icarus.csv
#	Azimuthal Angle: 0 deg
#	Magnet Voltage: -2 V
#	Queued Time: 2019-06-03 17:59:14
#	Start Y position: 0 mm
#	Y position step: 0.01 mm
#	Stop Y position: 15 mm
#Data:
R,Xfield,Yfield,Zfield,elapsed_time
0.0,0.0018210998535156252,-0.11319678344726564,-0.0005878051757812501,0.5900008678436279
0.01,0.0017998901367187502,-0.11322439575195314,-0.00059508056640625,1.370002031326294
0.02,0.001819232177734375,-0.1132208740234375,-0.000753778076171875,2.15000319480896
0.03,0.0018365478515625,-0.11321604614257813,-0.00089273681640625,2.930004358291626
0.04,0.00186380615234375,-0.11321398925781251,-0.00100704345703125,3.710005283355713
0.05,0.0018392395019531252,-0.11324617919921875,-0.001193402099609375,4.490006446838379
0.06,0.001853472900390625,-0.11319769287109377,-0.001355303955078125,5.270007610321045
0.07,0.0018736694335937502,-0.1132125732421875,-0.001482110595703125,6.050008773803711
0.08,0.00186693115234375,-0.11324155883789062,-0.0016260498046874999,6.830009698867798
0.09,0.001873486328125,-0.11323864135742188,-0.0017686950683593753,7.610010862350464
0.1,0.0018931823730468748,-0.11324163208007812,-0.0019080017089843752,8.39001202583313
0.11,0.0018795959472656248,-0.11322962646484376,-0.0021056945800781253,9.170012950897217
0.12,0.001869012451171875,-0.113225634765625,-0.002224664306640625,9.950014114379883
0.13,0.001896710205078125,-0.11324819946289062,-0.0023424682617187503,10.73001503944397
0.14,0.0018891052246093752,-0.11321671752929688,-0.002510845947265625,11.510016441345215
0.15,0.001923870849609375,-0.11324893188476565,-0.002647857666015625,12.290017366409302
0.16,0.0019411743164062499,-0.11323724975585939,-0.0028053405761718753,13.088036298751831
0.17,0.001907818603515625,-0.11321837768554688,-0.00298262939453125,13.841079473495483
0.18,0.0019419921875,-0.11321222534179687,-0.003123187255859375,14.606123208999634
0.19,0.001922802734375,-0.1132296630859375,-0.003261248779296875,15.367166519165039
0.2,0.0019467041015625,-0.1132330810546875,-0.0033983154296875,16.179213047027588
0.21,0.0019082336425781249,-0.11326159057617187,-0.0035811035156249997,16.934256315231323
0.22,0.0019219055175781251,-0.11321849365234377,-0.0037289550781250003,17.741302251815796
0.23,0.0019461791992187501,-0.11324125366210938,-0.003885540771484375,18.555349111557007
0.24,0.001976983642578125,-0.11326099853515625,-0.004028448486328125,19.320392847061157
0.25,0.001964337158203125,-0.11322018432617187,-0.004174786376953125,20.078436136245728
0.26,0.0019864379882812504,-0.11321766357421875,-0.004330224609375001,20.828479051589966
0.27,0.001945233154296875,-0.11321380615234376,-0.004475323486328125,21.585522174835205
0.28,0.002016943359375,-0.11325018920898439,-0.004619439697265626,22.336565256118774
0.29,0.001999176025390625,-0.11324458007812499,-0.00478643798828125,23.151611804962158
0.3,0.0020217834472656252,-0.11323523559570313,-0.004960137939453125,23.962658166885376
0.31,0.002010260009765625,-0.1132469482421875,-0.00509063720703125,24.71670126914978
0.32,0.0020062255859375,-0.11321649780273438,-0.005263299560546875,25.526747703552246
0.33,0.002024041748046875,-0.11323257446289064,-0.005414520263671875,26.333793878555298
0.34,0.0020604919433593752,-0.11319779052734376,-0.005549731445312501,27.144840240478516
0.35000000000000003,0.0020801330566406254,-0.11318521118164063,-0.00573187255859375,27.951886415481567
0.36,0.0020857177734375,-0.11317970581054689,-0.005875994873046875,28.75993275642395
0.37,0.00207822265625,-0.11322401733398438,-0.0060575439453125005,29.563978672027588
0.38,0.00212117919921875,-0.113182275390625,-0.006211456298828125,30.367024421691895
0.39,0.0021195434570312503,-0.11316786499023437,-0.006356280517578125,31.17107057571411
0.4,0.002132415771484375,-0.113179443359375,-0.0064932861328125,31.979116678237915
0.41000000000000003,0.002134234619140625,-0.11319418945312501,-0.0066673217773437505,32.79016304016113
0.42,0.0021287292480468754,-0.11313743896484374,-0.00683924560546875,33.60620999336243
0.43,0.0021263244628906253,-0.11315352783203125,-0.00696947021484375,34.410255670547485
0.44,0.002176708984375,-0.11314536743164064,-0.007136743164062501,35.21530199050903
0.45,0.002147161865234375,-0.11310828247070313,-0.0073069641113281255,36.02634835243225
0.46,0.0021685546875,-0.11312943115234375,-0.007444036865234376,36.83839464187622
0.47000000000000003,0.0021634033203125,-0.11314945068359375,-0.00759642333984375,37.64244055747986
0.48,0.00216737060546875,-0.11313778076171875,-0.007745581054687501,38.45048689842224
0.49,0.0021760009765625,-0.11311071166992188,-0.007908831787109374,39.26253342628479
0.5,0.00220467529296875,-0.11311498413085937,-0.008058740234375,40.02157688140869
0.51,0.0021667236328125,-0.11309924926757814,-0.00822735595703125,40.83162307739258
0.52,0.00220914306640625,-0.11310509033203126,-0.008402606201171876,41.63766932487488
0.53,0.0022353332519531254,-0.11310170288085937,-0.008545635986328124,42.447715759277344
0.54,0.0022094482421875,-0.11307496337890627,-0.008723309326171876,43.20075869560242
0.55,0.002279205322265625,-0.11308443603515626,-0.008889801025390626,44.011805057525635
0.56,0.0022346130371093753,-0.11304600830078125,-0.009023406982421876,44.81985116004944
0.5700000000000001,0.002222918701171875,-0.11306187744140626,-0.00918856201171875,45.624897480010986
0.58,0.0022379455566406254,-0.11305714721679688,-0.009312072753906251,46.435943841934204
0.59,0.00229403076171875,-0.113048828125,-0.00947015380859375,47.240989685058594
0.6,0.002255023193359375,-0.11305671997070313,-0.009634722900390627,48.05003595352173
0.61,0.002228790283203125,-0.1130660888671875,-0.009790747070312501,48.860082149505615
0.62,0.0022578552246093754,-0.11304624633789062,-0.009912530517578125,49.666128396987915
