#Procedure: <__main__.daedalusCenterCalibrationProcedure>
#Parameters:
#	stage X guess: 24 mm
#	stage Y guess: 24 mm
#	Calibration Name: ini_cal
#	Volts to magnet: 5 V
#	Queued Time: 2019-05-29 14:40:33
#	Scaling from Z field difference to mm: 0.1 mm/T
#	Field Tolerance: 0.005 T
#Data:
X,Y,Xfield,Yfield,Zfield,elapsed_time
24.0,24.006165603637694,-0.002517999267578125,-0.25985261230468754,0.06188928222656251,92.75422096252441
24.0,23.999979776611326,-0.002477142333984375,-0.2598387573242188,0.0618190185546875,93.50422215461731
24.0,23.993795745239257,-0.00247728271484375,-0.25985117797851565,0.06168834228515625,94.24422311782837
24.0,23.987625946044922,-0.00244058837890625,-0.2598789794921875,0.0615598876953125,94.97422409057617
24.0,23.981471908569336,-0.0024564758300781252,-0.25988740844726566,0.06136337890625,95.70422530174255
24.0,23.97533227722168,-0.00242498779296875,-0.2599090637207031,0.06124044799804688,96.44422626495361
24.0,23.969208405151367,-0.0024212707519531253,-0.25996557006835935,0.06102998657226563,97.17422723770142
24.0,23.963102697143555,-0.00240189208984375,-0.2599750366210937,0.06089675903320313,97.9042284488678
24.0,23.957014824829102,-0.002412109375,-0.26002581787109375,0.060698730468749997,98.64422941207886
24.0,23.950944657592775,-0.0024028015136718754,-0.2600306884765625,0.060515863037109374,99.3642303943634
24.0,23.9448994519043,-0.0023570373535156254,-0.260062353515625,0.06028040161132813,100.0942313671112
24.0,23.938872798461915,-0.0023294189453125,-0.26012294921875,0.06000377807617188,100.83423233032227
24.0,23.932873864746096,-0.0023495361328125,-0.2601269287109375,0.05977766723632813,101.56423354148865
24.0,23.926895728759767,-0.00238350830078125,-0.2601442016601562,0.05955661010742187,102.29423427581787
24.0,23.92094112426758,-0.002294732666015625,-0.2602744506835938,0.05932052001953125,103.02423548698425
24.0,23.915010095214843,-0.002297137451171875,-0.26022800903320314,0.059139770507812495,103.75423645973206
24.0,23.909098983154294,-0.0022653259277343753,-0.2602242431640625,0.058911212158203136,104.48423767089844
24.0,23.903207142944332,-0.002261224365234375,-0.260250732421875,0.058672570800781254,105.21423840522766
24.0,23.89734208068847,-0.002247900390625,-0.2602815979003906,0.058439794921875,105.94423961639404
24.0,23.891498579711907,-0.0022136047363281253,-0.26029191284179687,0.058220373535156245,106.67424058914185
24.0,23.88567702270507,-0.0021964233398437502,-0.26033394165039064,0.058010058593750004,107.40424156188965
24.0,23.879877067260736,-0.002229052734375,-0.26033837280273436,0.057773992919921885,108.13424253463745
24.0,23.874099523315422,-0.002197381591796875,-0.260355126953125,0.0575469970703125,108.86424374580383
24.0,23.868344481811516,-0.002205487060546875,-0.2604080078125,0.05732113037109376,109.60424470901489
24.0,23.86261257324218,-0.002177203369140625,-0.2604009948730469,0.05711281127929688,110.3342456817627
24.0,23.85690045898437,-0.0021513916015625,-0.26042388916015624,0.05688286743164063,111.06424689292908
24.0,23.851213335571284,-0.0021751831054687503,-0.260415966796875,0.0566495361328125,111.7942476272583
24.0,23.845550899047847,-0.0021564270019531254,-0.26042608642578124,0.05644420776367187,112.51424860954285
24.0,23.83990748596191,-0.00213326416015625,-0.26046694335937504,0.05623427124023438,113.25424981117249
