#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: 7vn
#	Center Calibration File: ./icarus_center_calib.csv
#	Azimuthal Angle: 0.01 deg
#	Magnet Voltage: -7 V
#	Queued Time: 2019-06-30 16:10:55
#	Start Y position: -15 mm
#	Y position step: 0.1 mm
#	Stop Y position: 15 mm
#Data:
R,Xfield,Yfield,Zfield,theta,phi,elapsed_time
-15.0,-0.00691778071289062,-0.006515336962890618,-0.1658206888183594,-86.72006087792543,-133.28398485010004,60.82008504867554
-14.9,-0.0069491527832031205,-0.005662291308593748,-0.16586423740234377,-86.90652466280415,-129.17375048524283,62.02008676528931
-14.8,-0.006917750195312496,-0.004643980761718743,-0.16600727939453125,-87.1267114835483,-123.87400466280157,63.27008843421936
-14.700000000000001,-0.006954822949218745,-0.003640666552734373,-0.1661287210449219,-87.29460937821071,-117.63087243080271,64.520090341568
-14.600000000000001,-0.006954652050781246,-0.0026297229492187463,-0.16627345981445316,-87.43961769232025,-110.71282344424515,65.76111054420471
-14.500000000000002,-0.006940845898437492,-0.0016207202636718682,-0.1663822916015625,-87.54703806400377,-103.14333454784911,66.98618054389954
-14.400000000000002,-0.0069753185546874985,-0.0005648486816406187,-0.16657538852539064,-87.59430915021733,-94.62960674154544,68.20925045013428
-14.300000000000002,-0.006965394238281242,0.0004646007812500047,-0.16674142856445315,-87.60262912832485,-86.1839501755014,69.43032026290894
-14.200000000000003,-0.007010297802734371,0.0014302501953125102,-0.16687090244140623,-87.54490553992578,-78.46869700037475,70.64138960838318
-14.100000000000003,-0.00699730952148437,0.0023714733398437562,-0.16709267978515627,-87.46823172017463,-71.27785494145985,71.86445951461792
-14.000000000000004,-0.007009034375000001,0.003283735302734375,-0.1673290201171875,-87.35156282953567,-64.89689172690619,73.14453268051147
-13.900000000000004,-0.006990723828124996,0.004242109326171882,-0.16752639560546875,-87.20554852881853,-58.74979650502029,74.37360310554504
-13.800000000000004,-0.0069973461425781175,0.005230689648437509,-0.16770803012695315,-87.01802482571166,-53.220974759830696,75.63567519187927
-13.700000000000005,-0.007042396191406244,0.00626623041992188,-0.16798547153320315,-86.78817969347419,-48.337737797572515,76.85474467277527
-13.600000000000005,-0.007048963574218747,0.007255109814453133,-0.16824737338867188,-86.55934053478848,-44.1743266702986,78.07381463050842
-13.500000000000005,-0.007053590039062495,0.008226472119140626,-0.1684787942871094,-86.3198513676584,-40.610641164903726,79.29388427734375
-13.400000000000006,-0.0070465221679687495,0.009258356884765631,-0.16877416782226565,-86.05640468282836,-37.27471101742683,80.51595449447632
-13.300000000000006,-0.007088660839843747,0.010150794628906258,-0.16901782626953124,-85.81043585752016,-34.92796647804809,81.78802704811096
-13.200000000000006,-0.007110480908203119,0.011108967236328128,-0.16934783115234373,-85.54649510768037,-32.62195745819333,83.02609777450562
-13.100000000000007,-0.007107612255859375,0.012107868603515627,-0.1696533670410156,-85.26919027190058,-30.413966568424947,84.28817009925842
-13.000000000000007,-0.007108839062499997,0.013109956005859381,-0.1700099588378906,-84.9868372604038,-28.4686462981044,85.52824115753174
-12.900000000000007,-0.007087122753906244,0.014169660595703126,-0.1702912759765625,-84.68474096351439,-26.57246643197187,86.7983136177063
-12.800000000000008,-0.007133546093749998,0.015179316357421882,-0.1706975687011719,-84.38838690878731,-25.171259557452316,88.04438495635986
-12.700000000000008,-0.00715846674804687,0.01619541743164063,-0.17104282016601563,-84.08960328576775,-23.845701667565194,89.30245685577393
-12.600000000000009,-0.00717372553710937,0.01720113642578125,-0.1714494485839844,-83.79612647862504,-22.638552901334293,90.54552793502808
-12.500000000000009,-0.007221039990234372,0.01817396967773438,-0.17177432651367186,-83.50501373185959,-21.669345446000104,91.79159927368164
-12.40000000000001,-0.007272791699218746,0.01921431391601562,-0.17220227451171877,-83.19646048419764,-20.73210783450555,93.02666974067688
-12.30000000000001,-0.007250593212890621,0.020243342236328135,-0.17263378696289064,-82.90000774305402,-19.706089283767948,94.25073981285095
-12.20000000000001,-0.007270679882812492,0.02134445917968751,-0.17306217441406252,-82.5765740622677,-18.810663816025652,95.51281189918518
-12.10000000000001,-0.007287012890625,0.022421558789062504,-0.17351208896484377,-82.26231324975686,-18.004176130291235,96.72988176345825
-12.00000000000001,-0.007265674999999999,0.023535407666015626,-0.17401611728515629,-81.94349734656812,-17.156112014071024,97.94295120239258
-11.900000000000011,-0.007330671337890615,0.02471765864257812,-0.17446754550781252,-81.59399712700245,-16.519107648338153,99.17002129554749
-11.800000000000011,-0.00737491572265625,0.02577982905273439,-0.1749726907714844,-81.28739849894416,-15.964401276872266,100.39009118080139
-11.700000000000012,-0.007349110058593747,0.02691683466796875,-0.17548058872070313,-80.96538895327821,-15.27127490080465,101.61816143989563
-11.600000000000012,-0.007397102001953121,0.028011347607421883,-0.1759845376953125,-80.65149140323216,-14.792705032408493,102.88223361968994
-11.500000000000012,-0.007389484814453118,0.029181153515625002,-0.17650964145507814,-80.32179994626001,-14.210181535269822,104.10030341148376
-11.400000000000013,-0.007419831494140619,0.030397596386718753,-0.17704838657226565,-79.97751325791897,-13.717249834867388,105.31737279891968
-11.300000000000013,-0.007443421582031241,0.03166781733398438,-0.17765186557617188,-79.62321020497,-13.227096484122876,106.58744549751282
-11.200000000000014,-0.00750701411132812,0.03290830195312501,-0.1782372415527344,-79.27659515035299,-12.850372524335913,107.81151556968689
-11.100000000000014,-0.0074975414550781175,0.03417517207031251,-0.17882855625,-78.92987825682287,-12.373838140118831,109.04258608818054
-11.000000000000014,-0.007547474316406247,0.03545139277343751,-0.17943039340820313,-78.57962965330363,-12.018628971961812,110.3176589012146
-10.900000000000015,-0.0075786449707031245,0.0367689953125,-0.1800133951171875,-78.21977890154234,-11.646426302827107,111.53672862052917
-10.800000000000015,-0.007600165966796871,0.03806907465820314,-0.18066811923828124,-77.87319158786431,-11.290178857641259,112.74879789352417
-10.700000000000015,-0.007645142773437495,0.03942137568359376,-0.1812204935058594,-77.5059538458489,-10.97535410589208,113.96986770629883
-10.600000000000016,-0.007645167187499996,0.040821979931640634,-0.18187765903320313,-77.13707313896177,-10.607514137828442,115.19193768501282
-10.500000000000016,-0.007625861767578124,0.04229820063476564,-0.18255026645507816,-76.75141319799967,-10.219961191537475,116.40400719642639
-10.400000000000016,-0.0076854564941406245,0.043792884472656265,-0.18325221958007812,-76.36196959834707,-9.953792602275996,117.62707710266113
-10.300000000000017,-0.007724952343749994,0.045270948437500014,-0.18390170078124998,-75.97845413421562,-9.683579655290607,118.90214991569519
-10.200000000000017,-0.007750678662109371,0.04674102290039063,-0.18456499423828124,-75.60260819305203,-9.415214522253255,120.12521982192993
-10.100000000000017,-0.007773084667968749,0.048295112255859377,-0.18526144809570314,-75.20911689698265,-9.143325595281341,121.3442895412445
-10.000000000000018,-0.007765064648437493,0.049849793652343766,-0.18592498569335938,-74.81829741518801,-8.853768331238378,122.56335926055908
-9.900000000000018,-0.007812171582031242,0.05144799311523439,-0.1865948099121094,-74.41722671471035,-8.63417767415065,123.80143022537231
-9.800000000000018,-0.007844544628906241,0.05320476191406251,-0.18728362216796876,-73.9781674549764,-8.387298833610506,125.04650139808655
-9.700000000000019,-0.007871943310546872,0.05496551020507813,-0.187984952734375,-73.54409627697194,-8.150253981873133,126.28857231140137
-9.60000000000002,-0.007904151562499996,0.056732337597656265,-0.18870995883789063,-73.11505572391412,-7.9315950676978675,127.55964517593384
-9.50000000000002,-0.007942817333984373,0.05860485346679688,-0.18949875888671877,-72.66738236138731,-7.718366391147182,128.79171562194824
-9.40000000000002,-0.007968488720703118,0.06040813105468751,-0.1901857034667969,-72.23565326139733,-7.514550576322806,129.99978470802307
-9.30000000000002,-0.00799977534179687,0.062291834667968754,-0.19087790927734377,-71.78755288733694,-7.318104766771123,131.2178544998169
-9.20000000000002,-0.00802299311523437,0.06419054072265624,-0.19158747348632812,-71.34261913607702,-7.124291752046317,132.4889268875122
-9.100000000000021,-0.00807191889648437,0.06616669428710938,-0.19223913974609375,-70.87645947781137,-6.955354925051811,133.7189974784851
-9.000000000000021,-0.00810213129882812,0.0682660900390625,-0.19298850498046874,-70.39338899956371,-6.768463003505177,135.00607109069824
-8.900000000000022,-0.008109852246093743,0.07043892329101563,-0.19370068759765624,-69.89482026475378,-6.56772333606519,136.27214336395264
-8.800000000000022,-0.008079450634765617,0.07271007807617187,-0.19441585483398438,-69.37896419267453,-6.34062225221196,137.4912130832672
-8.700000000000022,-0.00811603510742187,0.07491909907226564,-0.19510009555664062,-68.88094304588847,-6.182778513687092,138.71428322792053
-8.600000000000023,-0.008144959667968743,0.07719077265625002,-0.1957017435058594,-68.36571401965912,-6.023405620656601,139.9253523349762
-8.500000000000023,-0.008240272167968743,0.079458594921875,-0.19632640781250002,-67.8587134157328,-5.920707452281714,141.1424219608307
-8.400000000000023,-0.008232233837890623,0.08183006098632814,-0.19695673618164064,-67.33607760600592,-5.7447181136869325,142.35849165916443
-8.300000000000024,-0.008262360791015617,0.08435249750976564,-0.19748755283203126,-66.77233181261607,-5.5942989205085425,143.57656121253967
-8.200000000000024,-0.008294257763671875,0.08690673945312499,-0.19806368198242186,-66.21328537542823,-5.451716771969044,144.7936305999756
-8.100000000000025,-0.008287189892578123,0.0895736583984375,-0.198614444921875,-65.63333800202882,-5.285852649109634,146.07370400428772
-8.000000000000025,-0.008300288037109367,0.09236367304687501,-0.19910681552734377,-65.02580633099258,-5.135108027899572,147.2907736301422
-7.900000000000025,-0.00830968134765625,0.09510919306640628,-0.19959090366210938,-64.4365324219011,-4.9932473653574405,148.51584386825562
-7.800000000000026,-0.008329475048828118,0.09788668330078126,-0.20003621616210937,-63.84373409139805,-4.863755200505611,149.73091316223145
-7.700000000000026,-0.008326917675781247,0.10073646967773439,-0.20042668857421878,-63.23708338454284,-4.725349679678893,150.9519829750061
-7.600000000000026,-0.008297755078124996,0.1036342296875,-0.20073887729492187,-62.61963505890351,-4.5777758619206566,152.16305232048035
-7.500000000000027,-0.008346204785156242,0.1066425060546875,-0.20102391147460938,-61.98171625606048,-4.475040434278025,153.38112211227417
-7.400000000000027,-0.008342304638671867,0.1097466259277344,-0.20122734165039063,-61.32312019102207,-4.346934665327672,154.60319209098816
-7.300000000000027,-0.008345661572265621,0.1130142528808594,-0.20137678012695315,-60.63197196601881,-4.223403783485193,155.818261384964
-7.200000000000028,-0.00835667841796875,0.11634015620117188,-0.201454972265625,-59.92969758749634,-4.108482387326387,157.04233145713806
-7.100000000000028,-0.008321979931640619,0.11962003901367191,-0.20144509067382813,-59.23699105212333,-3.979661742609901,158.27640175819397
-7.000000000000028,-0.00831240961914062,0.12288631098632813,-0.20135594882812502,-58.546351798726405,-3.8697685183921333,159.49347162246704
-6.900000000000029,-0.008274726513671865,0.12623317377929688,-0.2011760477050781,-57.83738111594069,-3.75043711470644,160.7345426082611
