#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Magnetic field strength: 0.16 T
#	Number of Averages: 3
#	Phi End Position: 0 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 1 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
0.0,-90.0,26.31999,7.04091,-88.94922206957085,-87.64632367133359,-0.005632736360677075,0.0001033133463541729,-0.13706417840169272,1.0665966852895858e-05,8.932022390949955e-06,2.297615706742297e-05,0.1371799088550779,-4.931417932236677,-4.71343994140625
0.0,-89.0,26.31999,7.34743,-66.69699310687031,-87.4192782798813,-0.005679827018229162,0.002446473339843755,-0.13720777988281252,1.182691913865037e-05,2.7765607485744147e-06,7.147288898952865e-06,0.13734708051913555,-4.914392410690705,-4.69329833984375
0.0,-88.0,26.31999,7.65563,-49.13794209489037,-86.87819471655733,-0.005669752148437494,0.004904725292968756,-0.13745617872721352,8.454957668178803e-06,2.0211276293986317e-05,2.784362655534146e-05,0.13766046451291622,-4.892801189168475,-4.67193603515625
0.0,-87.0,26.31999,7.96389,-37.53009682366938,-86.10571897829502,-0.005709315136718744,0.007432437288411464,-0.1376783344889323,4.389883338490441e-06,1.7029673661861553e-05,1.4284245564766627e-05,0.137996960803573,-4.866867341701754,-4.6441650390625
0.0,-86.0,26.31999,8.27097,-30.338970925480513,-85.3000461327335,-0.005725383658854162,0.009782539013671878,-0.13786941521809895,1.0017703664038205e-05,8.678891605266654e-06,1.8544413304228722e-05,0.13833457174609556,-4.836646447981903,-4.6136474609375
0.0,-85.0,26.31999,8.57585,-25.012345863921,-84.41786844293196,-0.005710932568359371,0.012240247753906253,-0.1381985737467448,5.765030334876376e-06,8.272649929850896e-06,3.7666104365260242e-06,0.1388570639237047,-4.80219854656751,-4.5794677734375
0.0,-84.0,26.31999,8.87778,-21.31610004748745,-83.51478596569576,-0.005721145784505203,0.014661805371093753,-0.13845260410156252,1.9029227186685626e-05,9.612094732040702e-06,9.419039759904285e-06,0.1393442629903772,-4.7636752731934475,-4.54132080078125
0.0,-83.0,26.31999,9.17568,-18.5428490093504,-82.59589068524825,-0.005733047639973951,0.01709178380533854,-0.13872747389322918,5.097828647365622e-06,3.747410586645565e-06,1.8273054832801043e-05,0.13989392024561764,-4.721344324828736,-4.50408935546875
0.0,-82.0,26.31999,9.46899,-16.283259924968906,-81.63711940140567,-0.0057316601074218695,0.01962202875976563,-0.13905636997070311,6.808000426012477e-06,1.276651223880193e-05,6.393445484571935e-06,0.1405508803589118,-4.6755754883266984,-4.4525146484375
0.0,-81.0,26.31999,9.75694,-14.752624674752486,-80.7355587125023,-0.005786142122395828,0.0219732189453125,-0.13929869174804688,9.086548059191873e-06,1.6135020378205034e-05,9.333168853563766e-06,0.1411397439213937,-4.626808880005153,-4.4036865234375
0.0,-80.0,26.31999,10.03913,-13.289762555136173,-79.78153203204987,-0.005782846223958328,0.02448269973958334,-0.13955522047526045,1.100192434704934e-05,1.3334746546653614e-05,5.24180386474359e-06,0.14180445500366728,-4.575520018571089,-4.3572998046875
0.0,-79.0,26.31999,10.31494,-12.065422324708573,-78.8078661654993,-0.005783731233723953,0.027058356884765628,-0.13984240309244791,6.379203327980375e-06,3.95515661593313e-06,1.8588627564673404e-05,0.14255351250305262,-4.522190188668853,-4.3017578125
0.0,-78.0,26.31999,10.58422,-11.096229657470912,-77.87599977351404,-0.005789665885416663,0.02952045608723959,-0.1400377115234375,9.09684635231723e-06,5.583660162422237e-06,4.3103555700998066e-06,0.14323246212847454,-4.467285532644826,-4.24560546875
0.0,-77.0,26.31999,10.84661,-10.25445870186286,-76.90503331894446,-0.005808672233072909,0.03210810867513021,-0.1402718891764323,1.6071367048172972e-05,1.2575720220846606e-05,1.698654660931389e-05,0.14401692334212166,-4.411244909533549,-4.18914794921875
0.0,-76.0,26.31999,11.10151,-9.497675260108604,-75.91052457082756,-0.005818138785807285,0.03477649449869792,-0.1404844624186198,4.698957463277556e-06,5.997232031565427e-06,2.0973160118713228e-05,0.1448417739797379,-4.354474720039313,-4.1314697265625
0.0,-75.0,26.31999,11.34932,-8.857039272212932,-74.95139259091442,-0.005819711458333325,0.03734708776041668,-0.1405861469889323,3.038231021418664e-05,3.473414640188536e-06,1.1777577915405854e-05,0.14557863418385336,-4.297348271519199,-4.07501220703125
0.0,-74.0,26.31999,11.58963,-8.27308502488257,-73.96929165248929,-0.005814726920572911,0.039990005647786465,-0.14064375603841148,1.5533905189091548e-05,1.633408534498822e-05,1.2803968726830016e-05,0.14633413037792323,-4.240207420528022,-4.01702880859375
0.0,-73.0,26.31999,11.82233,-7.739025419165053,-72.95030976282646,-0.005811292675781246,0.04276186844075521,-0.14071684156901043,2.5209550506324783e-05,1.159732357267943e-05,1.5202791399619121e-05,0.147185522441122,-4.183364793822046,-3.9630126953125
0.0,-72.0,26.31999,12.04754,-7.356634885767749,-71.97650201039883,-0.005862747347005201,0.045409717968750006,-0.14072032057291667,3.404617877083871e-06,3.997863303153039e-06,2.519984455075013e-05,0.14798183305595544,-4.127105560413195,-3.9044189453125
0.0,-71.0,26.31999,12.26535,-6.885225047232702,-70.98988769395105,-0.005806843212890618,0.04808913894856772,-0.14059489739583333,3.0110113465162305e-06,2.928052375281664e-06,7.739219839260201e-06,0.14870511049274213,-4.071688325397802,-3.84857177734375
0.0,-70.0,26.31999,12.47546,-6.485569239668325,-69.95295650359373,-0.0057869111653645776,0.0509050548828125,-0.14040252068684897,8.516328959479429e-06,1.915707238357696e-05,1.4129371356799802e-06,0.14945795652516805,-4.017345153914015,-3.7945556640625
0.0,-69.0,26.31999,12.67848,-6.136148846375757,-68.91893740641976,-0.005776480257161455,0.05373103347981772,-0.14018755486653647,1.4520981018922687e-05,4.992194076046957e-06,1.006819915560929e-05,0.15024294400213556,-3.964280992592407,-3.74267578125
0.0,-68.0,26.31999,12.87452,-5.874079097098645,-67.91770405628982,-0.005806332552083328,0.05643641474609376,-0.1398437133138021,8.221784189538031e-06,1.118535253667838e-05,8.343285340111685e-06,0.1509140369895768,-3.912672859589327,-3.69293212890625
0.0,-67.0,26.31999,13.06356,-5.56410249078711,-66.9217292590655,-0.005762027132161454,0.05914725052083334,-0.13947178745117186,6.230917914079736e-06,1.5670147150300467e-05,1.5194770489518308e-05,0.15160467570517355,-3.8626691649374894,-3.64349365234375
0.0,-66.0,26.31999,13.24582,-5.275101143307616,-65.88584394955035,-0.005718981070963536,0.06194139318033854,-0.13896855055338542,8.923144091215919e-06,1.4396247410656358e-05,8.05704494707987e-06,0.1522553807801884,-3.8143894455961043,-3.5919189453125
0.0,-65.0,26.31999,13.42165,-5.059999297705031,-64.83584663367445,-0.005735725048828119,0.06477827469075521,-0.13842414951171875,1.7362424774272096e-05,1.2582199050293445e-05,1.1236319745442399e-05,0.15293910089244464,-3.7679246929557224,-3.5467529296875
