#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Magnetic field strength: 0.27 T
#	Number of Averages: 3
#	Phi End Position: 0 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 1 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
0.0,-90.0,26.31999,7.04096,-91.31898842936165,-87.59334274800204,-0.008384319205729162,-0.00019304692382811814,-0.1995426614746094,1.6567312577049506e-05,1.4222677477903227e-05,4.587205168997411e-06,0.19971882190727272,-10.0,-9.7802734375
0.0,-89.0,26.31999,7.34738,-69.19536058793268,-87.42827229121625,-0.00840526443684895,0.003193639274088544,-0.20018888746744792,1.1724303660313915e-05,8.14695097190227e-06,5.385810649481824e-06,0.20039071452420365,-10.0,-9.779052734375
0.0,-88.0,26.31999,7.65553,-51.16608477660714,-86.90178765168812,-0.008473735709635414,0.006821320751953128,-0.2009758015299479,1.4155397455919895e-05,1.1447006464774588e-05,1.8182659086454677e-05,0.20126998637224278,-10.0,-9.7821044921875
0.0,-87.0,26.31999,7.96389,-39.06494703317688,-86.17902876995493,-0.008500031689453123,0.010472370556640631,-0.2019509459798177,1.0858977102405058e-05,5.244659265578485e-06,3.7343219786918915e-06,0.20240085391603602,-10.0,-9.77874755859375
0.0,-86.0,26.31999,8.27102,-31.428191898045434,-85.3799917927093,-0.008553496451822911,0.013997384798177089,-0.20299495639648435,1.5571885696783168e-05,6.83922522063544e-06,2.110840500269751e-05,0.20365667532676204,-10.0,-9.77813720703125
0.0,-85.0,26.31999,8.57595,-25.936835446626134,-84.49571994224884,-0.008608849235026037,0.017700255485026045,-0.20425342400716148,1.3616008451922501e-05,1.2028553992292469e-05,1.2330838155624535e-05,0.2051995919782393,-10.0,-9.77874755859375
0.0,-84.0,26.31999,8.87778,-22.109689789019534,-83.60361700486332,-0.008675131380208327,0.021353911490885422,-0.2056019001627604,2.70651444466241e-06,1.372864456805089e-06,2.387121366042902e-05,0.20688979866335155,-10.0,-9.78424072265625
0.0,-83.0,26.31999,9.17553,-19.2544023483424,-82.69965085890479,-0.008748835400390618,0.025046634065755215,-0.2070941995605469,2.0770919808870366e-05,5.388802513623435e-06,1.7360729663685307e-05,0.20878669375827236,-10.0,-9.77813720703125
0.0,-82.0,26.31999,9.46899,-16.972712248266234,-81.75341795700561,-0.008832036490885415,0.028937574414062504,-0.20875542392578125,1.7039908221629018e-05,7.344013168819351e-06,9.751387071577912e-06,0.2109365191235941,-10.0,-9.77935791015625
0.0,-81.0,26.31999,9.75694,-15.208113314637883,-80.8395030305296,-0.008901767122395828,0.03274561884765626,-0.21043408400065103,9.745993060498885e-06,6.239717687986854e-06,2.5709674358939784e-05,0.21315257615335173,-10.0,-9.77935791015625
