#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: 5vp
#	Center Calibration File: ./icarus_center_calib.csv
#	Azimuthal Angle: 0 deg
#	Magnet Voltage: 5 V
#	Queued Time: 2019-06-30 19:54:05
#	Start Y position: -15 mm
#	Y position step: 0.1 mm
#	Stop Y position: 15 mm
#Data:
R,Xfield,Yfield,Zfield,theta,phi,elapsed_time
-15.0,0.0057316394531250064,0.005444227246093752,0.13748631801757813,86.70924894810626,46.473163372974405,60.868481397628784
-14.9,0.005715001269531256,0.004758784130859381,0.13754406337890626,86.9050816443072,50.216427856205264,62.098551750183105
-14.8,0.00575025517578126,0.003921699169921883,0.13761904506835937,87.10466118426724,55.70584118724279,63.37762498855591
-14.700000000000001,0.005744633837890631,0.00309596674804688,0.13770894375,87.28688464695651,61.67835364807186,64.66369867324829
-14.600000000000001,0.005763768359375011,0.002276118115234378,0.13788038540039063,87.4266229350628,68.450885011359,65.9377715587616
-14.500000000000002,0.0057805591308593765,0.001392274121093752,0.13800449428710937,87.53296211401513,76.45797878473871,67.15684103965759
-14.400000000000002,0.0057842395507812575,0.0005481273925781321,0.1381096517578125,87.59103707804697,84.58668962373787,68.36891055107117
-14.300000000000002,0.005804997607421876,-0.00030696293945312036,0.13830965786132812,87.59329434041007,93.02692897721867,69.58798027038574
-14.200000000000003,0.005764665576171883,-0.0011177722656249972,0.138437703515625,87.5711731183561,100.97351445237484,70.80304956436157
-14.100000000000003,0.005781505175781257,-0.0018879382812499942,0.13854253139648437,87.48635704241079,108.08433962794031,72.01711916923523
-14.000000000000004,0.0057820911132812555,-0.002683153124999997,0.13872349453125002,87.36912181117076,114.89344327943671,73.24018907546997
-13.900000000000004,0.005771001025390632,-0.0034677478515624943,0.13893755092773438,87.2256902285942,121.00131741232337,74.45625877380371
-13.800000000000004,0.005798582812500008,-0.0043117786132812475,0.13906967983398438,87.0256133056999,126.6341896352092,75.6733283996582
-13.700000000000005,0.005777165576171882,-0.00514209477539062,0.13931593837890624,86.82248369972581,131.67139253214273,76.89039778709412
-13.600000000000005,0.0058221851074218844,-0.005976237841796871,0.13950800991210938,86.5774289190512,135.7480720081507,78.10946750640869
-13.500000000000005,0.005870457812500007,-0.006788853808593745,0.13972151088867188,86.32465540728164,139.1493717616909,79.32153701782227
-13.400000000000006,0.005884270068359378,-0.007572197314453119,0.13995739956054687,86.08028394890043,142.14961922492444,80.55160713195801
-13.300000000000006,0.005840599414062508,-0.008366142626953121,0.14019693813476564,85.83749489847317,145.08020775981473,81.82168006896973
-13.200000000000006,0.005896116992187506,-0.009163737841796867,0.14041483974609376,85.56252971510133,147.24202779951614,83.03974962234497
-13.100000000000007,0.0058520190917968826,-0.009997807666015622,0.1407118734375,85.29354940219507,149.65827119442113,84.26281952857971
-13.000000000000007,0.0058858936035156365,-0.010798173876953122,0.14098887539062502,85.01483607734899,151.40597986431945,85.49188995361328
-12.900000000000007,0.005899425097656258,-0.011684953662109372,0.14123641567382814,84.70497284185359,153.21199335468,86.77096319198608
-12.800000000000008,0.005885539599609385,-0.01254375493164062,0.14157052822265626,84.41011524856508,154.86399370985072,88.03203535079956
-12.700000000000008,0.005941789599609379,-0.013408232470703121,0.14184288540039064,84.09689884781993,156.09971846495182,89.25310516357422
-12.600000000000009,0.0059393542968750115,-0.014243236132812497,0.14218391323242188,83.80563385247964,157.36412121420713,90.4871757030487
-12.500000000000009,0.005943669482421879,-0.015019090624999995,0.142496004296875,83.53293210967333,158.40926490142897,91.75624823570251
-12.40000000000001,0.005992686816406252,-0.01590499760742187,0.14280044765625,83.21242849392928,159.35458860155524,92.973317861557
-12.30000000000001,0.005956016894531256,-0.016787260791015623,0.14317167568359376,82.90805656566721,160.465627908324,94.19338750839233
-12.20000000000001,0.005986430712890629,-0.017663774462890622,0.1435608236328125,82.59790336613531,161.27796371245566,95.40845704078674
-12.10000000000001,0.006024071093750007,-0.018575792285156247,0.14389930629882813,82.27176172119263,162.03228414013827,96.64652800559998
-12.00000000000001,0.006028386279296881,-0.01950258061523437,0.1443152608886719,81.94906274748108,162.82324923267637,97.92160105705261
-11.900000000000011,0.006020634814453134,-0.02042778813476562,0.14474887905273437,81.63026301296392,163.5782949535483,99.19467353820801
-11.800000000000011,0.006068303271484381,-0.021304875537109372,0.1451266256347656,81.32131393247997,164.10136854853852,100.42574405670166
-11.700000000000012,0.006088164111328127,-0.022249675341796872,0.14554836025390624,80.99424119525804,164.69678552473727,101.69881701469421
-11.600000000000012,0.006084416552734381,-0.023173485156249996,0.14592662563476563,80.67609023374881,165.28851172395562,102.9228868484497
-11.500000000000012,0.006079796191406257,-0.024179796191406245,0.14641097011718748,80.33576306626789,165.88606731719736,104.21796083450317
-11.400000000000013,0.006136564990234385,-0.025165690966796873,0.14684037685546877,79.99577783142274,166.29606559018828,105.4950339794159
-11.300000000000013,0.006089317675781254,-0.026196727343749997,0.14730641079101564,79.65293297116003,166.9142166734974,106.77210688591003
-11.200000000000014,0.006154155322265632,-0.027240123339843745,0.14780465908203125,79.30049677588738,167.2693208565186,108.00717759132385
-11.100000000000014,0.006145915576171883,-0.028328416796875,0.14828302211914063,78.93890013490841,167.75924572209485,109.25224876403809
-11.000000000000014,0.006156950732421881,-0.029396629687499995,0.14878646450195313,78.58746926564442,168.1707295637371,110.4973201751709
-10.900000000000015,0.006220799609375001,-0.03040389897460937,0.14925018520507813,78.25379179522655,168.4365767163803,111.77439308166504
