#Procedure: <__main__.daedalusCenterCalibrationProcedure>
#Parameters:
#	stage X guess: 12.25 mm
#	stage Y guess: 13.54 mm
#	Calibration Name: probe_wire_side_1.55mm_shim
#	Volts to magnet: 6 V
#	Queued Time: 2019-02-04 15:29:02
#	Scaling from Z field difference to mm: 0.15 mm/T
#	Field Tolerance: 0.005 T
#Data:
X,Y,Xfield,Yfield,Zfield,elapsed_time
12.25,13.543978143920897,0.010603436279296876,0.21062960815429688,0.026573699951171877,1.1690154075622559
12.25,13.539991256713867,0.010640698242187501,0.2107299499511719,0.026573199462890624,2.0290167331695557
12.25,13.536017718811035,0.010643218994140627,0.21069366455078128,0.0266856201171875,2.8790178298950195
12.25,13.540017501220703,0.010593389892578126,0.2106735046386719,0.026646942138671876,3.710019111633301
12.25,13.544012602539063,0.010614276123046875,0.210618603515625,0.026599401855468753,8.57002592086792
12.25,13.548001683349609,0.010645806884765626,0.21065750732421873,0.026488043212890628,9.410027265548706
12.25,13.551980665893554,0.010609497070312501,0.2107059265136719,0.026465606689453126,10.261028289794922
12.25,13.555941718749999,0.010627886962890624,0.21070740966796878,0.026286883544921875,11.081029653549194
12.25,13.559875159301757,0.010648803710937502,0.21064128417968753,0.026166729736328127,11.871030569076538
12.25,13.56379749267578,0.010633209228515626,0.21071824951171877,0.026086114501953125,12.711031675338745
12.25,13.567702118835449,0.010611859130859375,0.2107155700683594,0.025979913330078125,13.511032819747925
12.25,13.5715978515625,0.0106256591796875,0.21071326293945314,0.025846569824218752,14.341034173965454
12.25,13.575474946899414,0.010539794921875,0.21074725952148438,0.025718572998046876,15.181035280227661
12.25,13.579342006225586,0.010675256347656252,0.21075718994140624,0.025622460937500004,16.021036624908447
12.25,13.583182114257813,0.010600042724609376,0.21071215820312503,0.025518963623046877,16.861037492752075
12.25,13.587004672546387,0.010648681640625001,0.21074446411132813,0.025376306152343753,17.702038764953613
12.25,13.590824400024415,0.010617956542968751,0.2107885498046875,0.02530927734375,18.532039880752563
12.25,13.594614806823731,0.010643206787109375,0.21074573974609379,0.0251474609375,19.37204122543335
12.25,13.598385304565431,0.010626116943359375,0.21078275146484377,0.025036767578125004,20.2020423412323
12.25,13.602147277832033,0.010631188964843752,0.21084895629882816,0.02489898681640625,21.042043685913086
12.25,13.605889309082034,0.010712939453125,0.21084049072265626,0.024822985839843752,25.903050422668457
12.25,13.60214371185303,0.010764666748046875,0.2107945922851563,0.024865069580078128,26.743051528930664
12.25,13.598419314575198,0.01067950439453125,0.2108622802734375,0.024848291015625,27.593052625656128
12.25,13.602145275573733,0.010700415039062501,0.2107861755371094,0.024874591064453125,28.433053970336914
12.25,13.605868973388674,0.010686651611328125,0.21084730834960938,0.024792248535156252,29.223055124282837
12.25,13.602140090942385,0.010674560546875001,0.21086411132812502,0.024815814208984377,30.01305627822876
12.25,13.598419793395998,0.01064478759765625,0.2108092224121094,0.024847076416015627,30.833057165145874
12.25,13.6021469720459,0.010679315185546876,0.21085817260742187,0.024882019042968752,31.664058685302734
12.25,13.598418001708986,0.010695288085937501,0.21077314453125,0.024881414794921876,32.48405957221985
12.25,13.594689294128418,0.0106788330078125,0.21078226928710941,0.024964447021484377,33.27406072616577
12.25,13.59842508972168,0.010653717041015627,0.21080246582031248,0.024963446044921875,34.064061880111694
12.25,13.594681957092286,0.010633050537109376,0.21079603271484376,0.024994549560546878,34.88406300544739
12.25,13.598426740417482,0.010728228759765625,0.2107498291015625,0.024957318115234377,35.68406414985657
12.25,13.594681376647952,0.010607977294921876,0.21077010498046878,0.02498096923828125,40.53507089614868
12.25,13.590936045837404,0.010643023681640626,0.21077653198242188,0.025028472900390626,41.33507227897644
12.25,13.594696855468753,0.010622454833984376,0.2107678405761719,0.025143243408203127,42.17507314682007
12.25,13.590936017456057,0.010602618408203125,0.21078041381835938,0.02508472900390625,43.0050745010376
12.25,13.594699407958986,0.010728302001953125,0.21083682250976563,0.025125469970703126,43.83507561683655
12.25,13.590930955505373,0.010695104980468752,0.2107747802734375,0.025081146240234376,44.675076723098755
12.25,13.587169245910646,0.0107216064453125,0.21075621948242187,0.025170117187500004,45.506078004837036
12.25,13.590948572082521,0.010729302978515626,0.21080383911132816,0.02524429931640625,46.34607911109924
12.25,13.587166571655274,0.0107294189453125,0.21074183959960938,0.025159051513671878,47.13608002662659
12.25,13.590951547546387,0.010728125,0.21076318969726562,0.02520971069335938,47.98608160018921
12.25,13.594729825439455,0.010663842773437501,0.21073551635742188,0.025148858642578126,52.86014199256897
12.25,13.590950208129884,0.010711859130859376,0.21075758056640626,0.025152465820312497,53.69214653968811
12.25,13.587179805603029,0.010671392822265625,0.21078861083984377,0.025193786621093752,54.52214789390564
12.25,13.590955904541017,0.010687841796875,0.21074858398437502,0.025185156250000004,55.3721489906311
12.25,13.594727906494143,0.010628240966796876,0.2107763610839844,0.025183837890625,56.202150106430054
12.25,13.590955535583499,0.010659442138671876,0.21077083129882812,0.025124005126953126,57.0521514415741
12.25,13.587183325805666,0.01066396484375,0.21080391235351562,0.025194329833984376,57.87215256690979
12.25,13.59096287994385,0.010675640869140626,0.2107432861328125,0.025154199218750003,58.722153663635254
12.25,13.594740693664553,0.010647338867187502,0.21072092285156252,0.02514473876953125,59.553154706954956
12.25,13.598517744750978,0.010674212646484375,0.21075792846679686,0.02504505615234375,60.353156089782715
12.25,13.602281353149415,0.0106707763671875,0.2108753173828125,0.024939630126953126,61.183157205581665
12.25,13.606023020019533,0.010678448486328125,0.21080780029296875,0.0248556640625,65.70316362380981
