#Procedure: <__main__.daedalusVoltCenterCalibrationProcedure>
#Parameters:
#	Calibration Name: shims
#	Center Calibration File: ./proj_field_center_calib_icarus.csv
#	Magnet Azimuthal Angle: 90 deg
#	Queued Time: 2019-06-04 18:07:41
#	Start magnet voltage: -10 V
#	Magnet voltage step: 0.02 V
#	Stop magnet voltage: 10 V
#Data:
V,Xfield,Yfield,Zfield,elapsed_time
-9.99664306640625,-0.3399640319824219,-0.006322595214843751,-0.00085216064453125,10.410014390945435
-9.97711181640625,-0.3396366149902344,-0.006296228027343751,-0.0008092773437500001,10.780014991760254
-9.9578857421875,-0.33936973266601567,-0.006300531005859375,-0.0008612243652343751,11.13001537322998
-9.9371337890625,-0.3389834167480469,-0.006297534179687501,-0.00083167724609375,11.490015983581543
-9.91943359375,-0.33868706054687503,-0.0062944763183593756,-0.0008117004394531251,11.860016584396362
-9.89593505859375,-0.3383693725585938,-0.00629931640625,-0.000804974365234375,12.210016965866089
-9.8760986328125,-0.33803528442382813,-0.006291711425781251,-0.0008085571289062499,12.570017337799072
-9.86083984375,-0.3377276916503906,-0.006255029296875001,-0.000811932373046875,12.930017948150635
-9.837646484375,-0.33739085083007814,-0.0062432373046875005,-0.000809832763671875,13.290018558502197
-9.81842041015625,-0.33707371215820314,-0.006275140380859375,-0.000818121337890625,13.65001893043518
-9.79736328125,-0.33674087524414065,-0.006268450927734375,-0.0008139587402343751,14.010019540786743
-9.7802734375,-0.33640639648437504,-0.00625986328125,-0.00079951171875,14.370019912719727
-9.7564697265625,-0.3360883850097656,-0.006242041015625001,-0.0008003784179687499,14.720020294189453
-9.736328125,-0.3357725219726563,-0.00623433837890625,-0.000824871826171875,15.10002088546753
-9.71649169921875,-0.3354399291992188,-0.0062182067871093755,-0.0008255065917968751,15.460021495819092
-9.69635009765625,-0.33511472778320317,-0.006221136474609375,-0.00082421875,15.820021867752075
-9.68048095703125,-0.3347605651855469,-0.006195098876953125,-0.00082154541015625,16.17002248764038
-9.6563720703125,-0.33444993896484376,-0.006202093505859375,-0.000832720947265625,16.530023097991943
-9.64111328125,-0.3341164855957031,-0.0062353210449218755,-0.000832513427734375,16.890023708343506
-9.61700439453125,-0.3338114379882813,-0.0061866455078125005,-0.000811077880859375,17.260024070739746
-9.59625244140625,-0.33344263916015626,-0.00619744873046875,-0.0008173278808593751,17.630024671554565
-9.57794189453125,-0.3331683715820313,-0.006175872802734375,-0.00083079833984375,17.996042728424072
-9.55718994140625,-0.33281046142578125,-0.006186029052734375,-0.0008316467285156251,18.365063905715942
-9.53826904296875,-0.33248146972656256,-0.006193737792968751,-0.00086732177734375,18.735085010528564
-9.51690673828125,-0.33211166381835944,-0.00616019287109375,-0.0008374877929687501,19.10710620880127
-9.4964599609375,-0.33178691406250005,-0.006148583984375001,-0.0008229736328125002,19.472127199172974
-9.4805908203125,-0.33140571289062504,-0.00613079833984375,-0.00082684326171875,19.840148210525513
-9.45648193359375,-0.3311479736328125,-0.006143206787109376,-0.000844085693359375,20.20616888999939
-9.437255859375,-0.3307765441894531,-0.0061216552734375,-0.000860113525390625,20.572190046310425
-9.41986083984375,-0.3304130554199219,-0.006115777587890625,-0.0008359436035156251,20.943211317062378
-9.3963623046875,-0.33009224243164065,-0.006115472412109375,-0.00085540771484375,21.30623197555542
-9.37835693359375,-0.3297273864746094,-0.006114208984375,-0.0008448669433593751,21.66925287246704
-9.3585205078125,-0.3293796203613282,-0.006084368896484376,-0.000823236083984375,22.035273551940918
-9.33624267578125,-0.3290557739257813,-0.0060916015625,-0.00081866455078125,22.39929461479187
-9.31671142578125,-0.3286711120605469,-0.006079132080078126,-0.0008226745605468751,22.764315366744995
-9.296875,-0.32835569458007813,-0.006084088134765625,-0.00082489013671875,23.12933611869812
-9.2767333984375,-0.32803185424804693,-0.0060442199707031255,-0.0008224853515625,23.493357181549072
-9.2572021484375,-0.32765921020507816,-0.0060656433105468754,-0.0008092712402343751,23.858377933502197
-9.23736572265625,-0.32736507568359374,-0.006059906005859376,-0.0008070983886718751,24.231399297714233
-9.2169189453125,-0.3270490173339844,-0.006085211181640625,-0.000795989990234375,24.59842038154602
-9.19708251953125,-0.3266684631347656,-0.006078125,-0.0008218811035156251,24.963441371917725
-9.1766357421875,-0.3263194641113281,-0.006059222412109376,-0.00085263671875,25.338462591171265
-9.1571044921875,-0.32598178710937503,-0.006069470214843751,-0.0008470581054687501,25.702483654022217
-9.136962890625,-0.32563291625976565,-0.0060197998046875,-0.0008093994140625,26.06650447845459
-9.11712646484375,-0.3252297973632813,-0.0060541503906250006,-0.000829705810546875,26.431525230407715
-9.100341796875,-0.3248673522949219,-0.006039373779296875,-0.0008005126953125,26.810546875
-9.08050537109375,-0.3245208557128907,-0.0060247009277343755,-0.000819464111328125,27.18556833267212
-9.0606689453125,-0.32416674194335937,-0.006027142333984375,-0.00082967529296875,27.549589157104492
-9.03656005859375,-0.32382700805664066,-0.006028234863281251,-0.0008352783203125001,27.908609628677368
-9.01702880859375,-0.3234633972167969,-0.006030865478515625,-0.0008109497070312501,28.27263045310974
-8.99688720703125,-0.32315376586914063,-0.00598541259765625,-0.00081041259765625,28.631650924682617
-8.9776611328125,-0.32275032958984373,-0.0059691528320312505,-0.0008468078613281251,28.998672008514404
-8.95751953125,-0.32239154052734376,-0.005940252685546875,-0.0008006286621093751,29.362692832946777
-8.93707275390625,-0.32206016235351564,-0.005978936767578126,-0.0008129821777343751,29.72771382331848
-8.91693115234375,-0.32175820312500003,-0.005942132568359375,-0.0008378295898437501,30.092734575271606
-8.8970947265625,-0.32131629638671877,-0.005955761718750001,-0.0008436706542968751,30.460755586624146
-8.87786865234375,-0.3209560852050781,-0.0059588317871093754,-0.000830255126953125,30.835777282714844
-8.8568115234375,-0.32063793334960944,-0.005920050048828125,-0.0008274475097656249,31.199797868728638
-8.83697509765625,-0.3202493774414063,-0.005927655029296875,-0.00077806396484375,31.56281876564026
-8.8177490234375,-0.3198773071289063,-0.005937109375,-0.000820330810546875,31.927839756011963
-8.79791259765625,-0.3194875427246094,-0.005937823486328125,-0.000799774169921875,32.29186034202576
-8.77960205078125,-0.3191969177246094,-0.005905328369140626,-0.0008098022460937501,32.65688133239746
-8.7567138671875,-0.31885182495117187,-0.005891943359375,-0.000804754638671875,33.01990222930908
-8.736572265625,-0.3185283630371094,-0.005919244384765625,-0.000791387939453125,33.38692283630371
-8.7164306640625,-0.31806578369140626,-0.00587734375,-0.00079920654296875,33.75494408607483
-8.69781494140625,-0.317694580078125,-0.0058858825683593755,-0.000812567138671875,34.120965003967285
-8.677978515625,-0.3173977416992188,-0.005896081542968751,-0.000818670654296875,34.495986461639404
-8.65753173828125,-0.3169974670410156,-0.00588885498046875,-0.0008136169433593751,34.86300730705261
-8.6376953125,-0.31663317260742185,-0.0058805419921875,-0.0008418212890625,35.22602820396423
-8.61724853515625,-0.3162824890136719,-0.005848095703125,-0.00082596435546875,35.596049308776855
-8.59649658203125,-0.3159062683105469,-0.005851556396484376,-0.00082337646484375,35.96707057952881
-8.580322265625,-0.3155126708984375,-0.0058282470703125006,-0.0008122802734375,36.340091705322266
-8.55712890625,-0.3151511535644531,-0.00586209716796875,-0.000830218505859375,36.71311330795288
-8.53790283203125,-0.3148152282714844,-0.0058485473632812505,-0.000818048095703125,37.085134506225586
-8.5186767578125,-0.31443769531250004,-0.00582757568359375,-0.0008263061523437501,37.45215559005737
-8.49639892578125,-0.3140751831054688,-0.005836065673828126,-0.00080035400390625,37.81717658042908
-8.477783203125,-0.3137457702636719,-0.005790838623046875,-0.0007867309570312501,38.18019723892212
-8.4600830078125,-0.3133640686035157,-0.005838293457031251,-0.0008035278320312501,38.54321789741516
-8.436279296875,-0.3130259216308594,-0.0057992675781250004,-0.0007972106933593751,38.908238649368286
-8.41644287109375,-0.312642236328125,-0.005803411865234375,-0.000796905517578125,39.27525973320007
-8.39691162109375,-0.3122666198730469,-0.005778350830078126,-0.0008069885253906251,39.64128065109253
-8.37646484375,-0.3118692138671875,-0.0058027099609375,-0.000805303955078125,40.008301734924316
-8.358154296875,-0.31152354125976567,-0.005791473388671875,-0.00083199462890625,40.37232279777527
-8.33709716796875,-0.3111158081054688,-0.005805371093750001,-0.0007998657226562501,40.7323431968689
-8.3172607421875,-0.31075146484375,-0.00577437744140625,-0.0008453796386718751,41.09836411476135
-8.29681396484375,-0.31040090332031256,-0.0057632141113281255,-0.0008175903320312501,41.468385219573975
-8.2769775390625,-0.3099919677734375,-0.00573563232421875,-0.0007802124023437501,41.82540559768677
