#Procedure: <__main__.daedalusRadialVoltCalibrationProcedure>
#Parameters:
#	Calibration Name: r14
#	Center Calibration File: ./proj_field_center_calib_icarus.csv
#	Queued Time: 2019-06-04 22:10:31
#	Radial Distance: 14.356 mm
#	Start magnet voltage: -10 V
#	Magnet voltage step: 0.1 V
#	Stop magnet voltage: 10 V
#Data:
V,Xfield,Yfield,Zfield,elapsed_time
-9.99664306640625,-0.00725960693359375,-0.00011036376953125002,-0.20196719360351564,6.388365268707275
-9.896240234375,-0.007261981201171876,-0.00012308349609375,-0.20100668945312503,6.804388999938965
-9.7967529296875,-0.007206201171875,-0.000135107421875,-0.20005736694335938,7.2234132289886475
-9.6966552734375,-0.0071875305175781255,-0.00011735839843750002,-0.19905307006835937,7.64143705368042
-9.59625244140625,-0.007135180664062501,-0.000146392822265625,-0.19806062622070314,8.059460878372192
-9.4964599609375,-0.007133770751953126,-0.00015570068359375,-0.19706342163085938,8.475484609603882
-9.39697265625,-0.007106158447265625,-0.000182464599609375,-0.19608474121093752,8.894508838653564
-9.29656982421875,-0.007045074462890626,-0.00016609497070312502,-0.19512442016601564,9.313532590866089
-9.195556640625,-0.007024737548828125,-0.000140679931640625,-0.19411715698242188,9.729556560516357
-9.09698486328125,-0.0069914672851562505,-0.00015350952148437502,-0.193067236328125,10.143580198287964
-9.00115966796875,-0.006894079589843751,-0.00014290771484375,-0.19198707275390625,10.566604137420654
-8.89678955078125,-0.006896636962890625,-0.00017423095703125,-0.19094000854492188,10.988628387451172
-8.79852294921875,-0.00684024658203125,-0.00016784057617187501,-0.1898797058105469,11.407652378082275
-8.6968994140625,-0.0068030029296875,-0.00016383056640625,-0.1888449645996094,11.832676887512207
-8.59649658203125,-0.006800585937500001,-0.00016583862304687502,-0.18771254272460938,12.2507004737854
-8.49700927734375,-0.00673260498046875,-0.000144122314453125,-0.186622900390625,12.668724536895752
-8.40118408203125,-0.0067069091796875,-0.000176605224609375,-0.1855138854980469,13.08374834060669
-8.29681396484375,-0.00669381103515625,-0.00017875976562500002,-0.18440801391601563,13.499772071838379
-8.19671630859375,-0.006608160400390625,-0.000167864990234375,-0.18330655517578126,13.927796602249146
-8.09661865234375,-0.006585571289062501,-0.000124127197265625,-0.1821232421875,14.347820520401001
-7.9962158203125,-0.0065014099121093755,-0.00017211914062500002,-0.1809954040527344,14.764844417572021
-7.8973388671875,-0.006481488037109375,-0.000137139892578125,-0.17982967529296878,15.183868408203125
-7.796630859375,-0.006457244873046875,-0.000140625,-0.17863877563476563,15.60389232635498
-7.69683837890625,-0.006419830322265625,-0.00018018798828125,-0.177450634765625,16.022916316986084
-7.59613037109375,-0.0064036376953125005,-0.0001564453125,-0.17627065429687502,16.44294047355652
-7.4969482421875,-0.0063199462890625,-0.00015849609375,-0.1751061706542969,16.86596441268921
-7.39837646484375,-0.0063113525390625,-0.0001615966796875,-0.17386277465820313,17.285988569259644
