#Procedure: <__main__.daedalusRadialVoltCalibrationProcedure>
#Parameters:
#	Calibration Name: r12_5
#	Center Calibration File: ./proj_field_center_calib_icarus.csv
#	Queued Time: 2019-06-04 22:17:26
#	Radial Distance: 12.5 mm
#	Start magnet voltage: -10 V
#	Magnet voltage step: 0.1 V
#	Stop magnet voltage: 10 V
#Data:
V,Xfield,Yfield,Zfield,elapsed_time
-9.996337890625,-0.007311596679687501,-0.021036651611328127,-0.2076275329589844,10.430014610290527
-9.89593505859375,-0.007267626953125001,-0.020927642822265627,-0.2066269958496094,10.88001537322998
-9.7967529296875,-0.0072107849121093755,-0.020802581787109378,-0.20569901123046877,11.330015897750854
-9.69635009765625,-0.007176123046875001,-0.0206873291015625,-0.2046553955078125,11.770016431808472
-9.59716796875,-0.0071670471191406255,-0.020583435058593752,-0.20364805297851563,12.220017194747925
-9.4964599609375,-0.0071241455078125005,-0.02049237060546875,-0.20260339965820312,12.679035663604736
-9.39727783203125,-0.007066967773437501,-0.020405743408203128,-0.2015503601074219,13.094059228897095
-9.29595947265625,-0.007021099853515626,-0.020306622314453127,-0.20052777709960937,13.513083457946777
-9.19677734375,-0.00700421142578125,-0.02021019287109375,-0.19945357055664065,13.929107189178467
-9.09698486328125,-0.006912512207031251,-0.02010255126953125,-0.19842672119140625,14.348130941390991
-8.99871826171875,-0.006908935546875001,-0.019985504150390628,-0.19735057373046877,14.76415491104126
-8.89739990234375,-0.006912316894531249,-0.019875079345703126,-0.1962979187011719,15.177178621292114
-8.79669189453125,-0.0068728149414062495,-0.019773699951171876,-0.19520626831054688,15.587202072143555
-8.69659423828125,-0.006819573974609375,-0.01964586181640625,-0.194058154296875,15.999225616455078
-8.59771728515625,-0.006793756103515625,-0.019561285400390625,-0.1929060302734375,16.41024899482727
-8.49700927734375,-0.006742291259765625,-0.019427020263671876,-0.19175803833007812,16.82027244567871
-8.39691162109375,-0.0067054382324218745,-0.019332916259765628,-0.19065545654296878,17.2292959690094
-8.30078125,-0.006695745849609375,-0.01920521240234375,-0.1894982849121094,17.642319679260254
-8.197021484375,-0.0066417663574218746,-0.019081463623046874,-0.18835571899414064,18.05634331703186
-8.0975341796875,-0.0065757385253906245,-0.018941961669921875,-0.18718680419921876,18.467366695404053
-7.9962158203125,-0.006499896240234376,-0.018838983154296877,-0.18599569091796875,18.879390239715576
-7.8973388671875,-0.006470410156250001,-0.018747076416015626,-0.18484367065429688,19.293413877487183
-7.79876708984375,-0.006430200195312499,-0.018608782958984375,-0.18359359741210937,19.704437494277954
-7.69744873046875,-0.006432141113281251,-0.0184873046875,-0.18240347290039063,20.128461837768555
-7.5970458984375,-0.006347833251953126,-0.018335455322265628,-0.1811517761230469,20.538485288619995
-7.49664306640625,-0.006329046630859376,-0.018213580322265624,-0.1799560546875,20.95750904083252
-7.396240234375,-0.006291693115234375,-0.018071209716796873,-0.17869688110351564,21.384533405303955
-7.30010986328125,-0.0062498474121093755,-0.01795771484375,-0.17746177368164062,21.79955744743347
-7.19696044921875,-0.0062126953125000006,-0.017848724365234377,-0.17616845703125,22.218581199645996
-7.0965576171875,-0.006175927734375,-0.017727966308593752,-0.17491553344726563,22.648605823516846
-6.99676513671875,-0.00606544189453125,-0.017566497802734376,-0.173684033203125,23.06262969970703
-6.89666748046875,-0.006028735351562501,-0.0174187255859375,-0.17235445556640627,23.489654064178467
