#Procedure: <__main__.daedalusVoltCenterCalibrationProcedure>
#Parameters:
#	Calibration Name: probe_wire_side_1.55mm_shim
#	Center Calibration File: ./proj_field_center_calib.csv
#	Magnet Azimuthal Angle: 0 deg
#	Queued Time: 2019-02-05 09:01:30
#	Start magnet voltage: -10 V
#	Magnet voltage step: 0.05 V
#	Stop magnet voltage: 10 V
#Data:
V,Xfield,Yfield,Zfield,elapsed_time
-9.99908447265625,-0.016636260986328127,-0.27933707885742187,-0.0030615234375000002,10.501014709472656
-9.94903564453125,-0.016730462646484378,-0.27865117797851563,-0.003027685546875,10.992015361785889
-9.898681640625,-0.016596936035156253,-0.2779367126464844,-0.003078125,11.48201584815979
-9.8486328125,-0.016647406005859375,-0.2772498779296875,-0.00308875732421875,11.97201681137085
-9.79888916015625,-0.01663988037109375,-0.27667174682617185,-0.00305703125,12.452017307281494
-9.7491455078125,-0.016508551025390627,-0.275898046875,-0.002977435302734375,12.922018051147461
-9.69879150390625,-0.01649542236328125,-0.2751674377441406,-0.0030247253417968753,13.412018537521362
-9.64874267578125,-0.016410931396484373,-0.274563916015625,-0.00296129150390625,13.892019271850586
-9.59869384765625,-0.016374078369140625,-0.27390441894531253,-0.0030210937500000003,14.372020244598389
-9.54864501953125,-0.016425238037109376,-0.27316143798828124,-0.002980950927734375,14.858043193817139
-9.49859619140625,-0.016305987548828126,-0.27248926391601563,-0.002962554931640625,15.3380708694458
-9.44915771484375,-0.016271820068359377,-0.2717630249023438,-0.0029596923828125003,15.814098119735718
-9.39910888671875,-0.016257794189453126,-0.2711748046875,-0.00290413818359375,16.296125650405884
-9.3487548828125,-0.01623492431640625,-0.27038555908203127,-0.002948583984375,16.770152807235718
-9.29901123046875,-0.016127618408203127,-0.269678271484375,-0.002885479736328125,17.24417996406555
-9.24896240234375,-0.016097149658203126,-0.26901622924804686,-0.002821612548828125,17.723207235336304
-9.19891357421875,-0.0161039306640625,-0.26831036376953127,-0.002903387451171875,18.19923448562622
-9.149169921875,-0.016002648925781248,-0.26759718017578127,-0.0028408325195312502,18.674261569976807
-9.09912109375,-0.015993585205078126,-0.26682873535156254,-0.002799566650390625,19.157289266586304
-9.04876708984375,-0.015940313720703127,-0.2661147705078125,-0.0028449951171875005,19.629316329956055
-8.9990234375,-0.015845037841796875,-0.26537005615234377,-0.002720770263671875,20.10334324836731
-8.94927978515625,-0.015824066162109376,-0.26466075439453124,-0.00277890625,20.579370737075806
-8.89923095703125,-0.015866632080078127,-0.2638833984375,-0.00282528076171875,21.05339765548706
-8.84918212890625,-0.0157817138671875,-0.26319461669921873,-0.002781939697265625,21.526424646377563
-8.7994384765625,-0.015724133300781252,-0.26243450927734374,-0.00274671630859375,22.010452270507812
-8.748779296875,-0.015700201416015625,-0.2616722839355469,-0.002785723876953125,22.484479665756226
-8.69903564453125,-0.01563477783203125,-0.26095330810546874,-0.002743603515625,22.962507009506226
-8.64898681640625,-0.01563228759765625,-0.2601852233886719,-0.002763006591796875,23.440534114837646
-8.59893798828125,-0.0156294189453125,-0.25940451049804686,-0.002763592529296875,23.918561697006226
-8.54949951171875,-0.015525213623046874,-0.2586143981933594,-0.00270435791015625,24.397588968276978
-8.49884033203125,-0.015455578613281252,-0.2579074401855469,-0.002746514892578125,24.87861657142639
-8.44940185546875,-0.0154090576171875,-0.2571627380371094,-0.0027210021972656254,25.352643728256226
