#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: probe_wire_side_1.55mm_shim
#	Center Calibration File: ./proj_field_center_calib.csv
#	Azimuthal Angle: 0 deg
#	Magnet Voltage: 7 V
#	Queued Time: 2019-02-07 10:40:51
#	Start Y position: -14 mm
#	Y position step: 0.01 mm
#	Stop Y position: 20 mm
#Data:
R,Xfield,Yfield,Zfield,elapsed_time
-14.0,-0.00438502197265625,0.008724420166015627,0.155331396484375,10.781234979629517
-13.99,-0.004400579833984375,0.00882203369140625,0.15533267211914065,11.642236232757568
-13.98,-0.004382696533203125,0.0088967529296875,0.15535827026367188,12.526280641555786
-13.97,-0.0043802734375,0.00904200439453125,0.15532401123046877,13.39532470703125
-13.96,-0.0043811706542968756,0.00913170166015625,0.15537287597656252,14.235326051712036
-13.950000000000001,-0.004369921875,0.009221502685546876,0.15546300048828127,15.105327129364014
-13.940000000000001,-0.0043627502441406256,0.009270489501953125,0.155408984375,15.9453284740448
-13.930000000000001,-0.004376837158203125,0.009387762451171875,0.15546883544921875,16.785329341888428
-13.920000000000002,-0.0043339294433593755,0.009505639648437501,0.15546610717773438,17.645330667495728
-13.910000000000002,-0.0043131835937500005,0.00963958740234375,0.1555169128417969,18.49533176422119
-13.900000000000002,-0.004329705810546875,0.00969544677734375,0.15549400634765626,19.346333265304565
-13.890000000000002,-0.00430516357421875,0.009841619873046875,0.15551848754882813,20.186334133148193
-13.880000000000003,-0.004359124755859375,0.009959576416015626,0.15555344238281252,21.046335458755493
-13.870000000000003,-0.004348388671875001,0.010088848876953126,0.15554380493164063,21.876336574554443
-13.860000000000003,-0.004362255859375,0.01015631103515625,0.15553355102539063,22.736337900161743
-13.850000000000003,-0.0043207885742187506,0.010280798339843751,0.15560610961914065,23.586338996887207
-13.840000000000003,-0.004306927490234375,0.0103679931640625,0.15558465576171876,24.446340322494507
-13.830000000000004,-0.0043134521484375,0.010457019042968752,0.15559590454101563,25.306341409683228
-13.820000000000004,-0.00431136474609375,0.010579779052734377,0.15557659301757815,26.16734290122986
-13.810000000000004,-0.004257208251953125,0.010709832763671876,0.15563422851562503,27.007343769073486
-13.800000000000004,-0.0043191406250000005,0.010836370849609376,0.15565377197265626,27.867345094680786
-13.790000000000004,-0.004296569824218751,0.010955902099609376,0.15569087524414063,28.737346410751343
-13.780000000000005,-0.0042909729003906254,0.011039544677734376,0.15571146240234376,29.597347497940063
-13.770000000000005,-0.004292236328125,0.011164184570312501,0.15572488403320314,30.457348823547363
-13.760000000000005,-0.004248321533203125,0.011219403076171875,0.155731396484375,31.317349910736084
-13.750000000000005,-0.004326190185546875,0.01135809326171875,0.1558066162109375,32.16735124588013
-13.740000000000006,-0.004282330322265625,0.011461157226562501,0.15578544311523437,33.02835249900818
-13.730000000000006,-0.00425162353515625,0.01154869384765625,0.1558011169433594,33.87835359573364
-13.720000000000006,-0.00428533935546875,0.011668658447265626,0.1558011901855469,34.73835468292236
-13.710000000000006,-0.0042813232421875,0.011835406494140626,0.15585855712890628,35.59835600852966
-13.700000000000006,-0.00429091796875,0.011884484863281251,0.15583395996093752,36.44835710525513
-13.690000000000007,-0.004280511474609375,0.012000836181640627,0.15579315185546877,37.318358182907104
-13.680000000000007,-0.004268841552734375,0.012094042968750001,0.1558612243652344,38.15835952758789
-13.670000000000007,-0.0042484130859375,0.012211749267578125,0.15589873046875002,39.008360624313354
-13.660000000000007,-0.00422481689453125,0.012318768310546875,0.15595692138671877,39.868361949920654
-13.650000000000007,-0.004241204833984376,0.01239208984375,0.15591978149414065,40.73838543891907
-13.640000000000008,-0.00417408447265625,0.012543017578125,0.1558811462402344,41.6064350605011
-13.630000000000008,-0.00421466064453125,0.012585668945312501,0.15596694946289064,42.471484661102295
-13.620000000000008,-0.0042010681152343755,0.012680480957031252,0.15597432861328125,43.345534801483154
-13.610000000000008,-0.004181103515625,0.01281575927734375,0.15599566040039065,44.199583530426025
-13.600000000000009,-0.004174029541015626,0.012885272216796875,0.1560351013183594,45.06463313102722
-13.590000000000009,-0.004122552490234375,0.013062274169921876,0.15602227783203126,45.927682399749756
-13.580000000000009,-0.00420579833984375,0.0131287109375,0.15609544677734377,46.79573202133179
-13.57000000000001,-0.0041950927734375,0.013239739990234376,0.1561133056640625,47.65578103065491
-13.56000000000001,-0.004155377197265625,0.0134098876953125,0.1561228210449219,48.51983046531677
-13.55000000000001,-0.0041888671875,0.013527783203125,0.15616898193359374,49.38587999343872
-13.54000000000001,-0.004154016113281251,0.013662908935546876,0.15615358886718753,50.25092959403992
-13.53000000000001,-0.0041858886718750005,0.013738873291015625,0.1561644775390625,51.11497902870178
-13.52000000000001,-0.004121514892578125,0.013812176513671877,0.15616216430664065,51.97502827644348
-13.51000000000001,-0.00416947021484375,0.013961779785156251,0.15624815673828127,52.8400776386261
-13.50000000000001,-0.0041818359375000004,0.014049114990234375,0.1562578125,53.72312808036804
-13.49000000000001,-0.00417279052734375,0.01416265869140625,0.15624500122070314,58.56240487098694
-13.480000000000011,-0.004162152099609375,0.014267871093750002,0.15622246704101564,59.43245482444763
-13.470000000000011,-0.004137518310546875,0.01436533203125,0.15629014282226564,60.28950381278992
-13.460000000000012,-0.00411422119140625,0.014492437744140624,0.15628054199218752,61.15355324745178
-13.450000000000012,-0.00410013427734375,0.014577722167968751,0.15634563598632814,62.01760244369507
-13.440000000000012,-0.004100872802734375,0.014658483886718752,0.1563572448730469,62.88065195083618
