#Procedure: <__main__.daedalusFieldRasterProcedure>
#Parameters:
#	stage X End Position: 30 mm
#	stage X Start Position: 15 mm
#	stage X Scan Step Size: 1 mm
#	stage Y End Position: 30 mm
#	stage Y Start Position: 15 mm
#	stage Y Scan Step Size: 1 mm
#	Delay between averages: 0.1 s
#	Volts to magnet: 1 V
#	name: field_raster
#	Number of Averages: 3
#	Magnet Phi: 90 deg
#Data:
X,Y,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std
15.0,15.0,0.003081290690104167,-0.0029137084960937504,0.03687804768880209,1.996651014496057e-06,2.1981305150922758e-05,1.2234827903419269e-05
16.0,15.0,0.005308349609375001,-0.0029955017089843754,0.038266756184895834,4.2975887514959044e-06,3.312989180810164e-06,1.3202592637102666e-05
17.0,15.0,0.008155118815104166,-0.003108638509114583,0.04002975667317709,1.534481716825891e-05,1.3104790854636184e-05,5.443780145561466e-06
18.0,15.0,0.011963053385416667,-0.0032652160644531247,0.04205559692382813,1.9064366852000316e-06,2.3455983397122836e-06,4.587654511518527e-06
19.0,15.0,0.017225732421875,-0.003443528238932292,0.04407509969075521,2.6680063959002183e-05,1.4965010747816154e-05,2.220724177496129e-05
20.0,15.0,0.024289400227864587,-0.00356197509765625,0.04520234781901042,4.550648343059676e-06,2.2760853504961543e-05,8.158721535560814e-06
21.0,15.0,0.033085986328125004,-0.0035397725423177086,0.04413821004231771,9.72834656272705e-06,6.948464673690819e-06,1.78986649954158e-05
22.0,15.0,0.04199599812825521,-0.0033069966634114586,0.03969076131184896,2.6003189271348795e-06,2.646792739101295e-05,4.974614444618177e-06
23.0,15.0,0.0490922342936198,-0.0028244466145833334,0.0324374532063802,1.655639362929893e-05,1.3377326754529795e-05,1.2895810725017919e-05
24.0,15.0,0.053586090087890635,-0.002242472330729167,0.024069659423828122,2.1862784449047303e-05,5.61180415400603e-06,9.01266839808804e-06
25.0,15.0,0.05610192464192709,-0.0015675069173177083,0.015808445231119794,4.036469613334502e-06,1.4639503580356329e-05,2.1188287656891153e-05
26.0,15.0,0.05738882446289063,-0.0008638448079427083,0.007921484375000001,3.4045254777742493e-06,1.1438429407899903e-05,1.8933437991342288e-05
27.0,15.0,0.05785678914388021,-0.0001539774576822917,0.00013058064778645833,2.4783676907603056e-05,9.36726321530137e-06,8.195516802149707e-06
28.0,15.0,0.0576345458984375,0.0005957661946614582,-0.007759332275390625,1.6517300409216245e-05,1.0807795685194995e-05,7.820201892051755e-06
29.0,15.0,0.05640789184570313,0.0013162841796875002,-0.015968324788411457,1.9558135284096674e-05,7.862751202090528e-06,1.2620997265431874e-05
30.0,15.0,0.0536084716796875,0.002051519775390625,-0.024494384765625002,1.032941476229429e-05,6.403942467910685e-07,6.037336529715195e-06
15.0,16.0,0.0031055155436197916,-0.0026507548014322916,0.03670978393554688,1.227473122744262e-05,3.4599355697360473e-06,7.004304754320277e-06
16.0,16.0,0.005324757893880208,-0.0027767333984375,0.03806172078450521,3.938145228069439e-06,6.222487532568935e-06,2.5988860951632838e-05
17.0,16.0,0.008177669270833333,-0.002894753011067708,0.03981852010091146,3.2832487139592696e-05,5.39320200752549e-06,1.1647094717960741e-05
18.0,16.0,0.011947875976562501,-0.0030351135253906254,0.0418659423828125,1.0677465183904441e-05,9.845340892865947e-06,6.440179881199118e-06
19.0,16.0,0.017199285888671877,-0.0032252583821614582,0.04385901489257813,1.5485515275344882e-05,1.3749274405687341e-05,3.272634275667081e-06
20.0,16.0,0.024253605143229173,-0.0033409912109375,0.045093121337890625,2.6862341877888176e-05,1.823370173218423e-05,6.183161576043724e-06
21.0,16.0,0.03307443440755208,-0.0033870707194010425,0.04405112508138021,1.7244643047985282e-05,1.805253971621241e-06,1.6273065676415527e-05
22.0,16.0,0.04200931396484375,-0.0031376912434895837,0.03966770222981771,1.486375113708231e-05,1.1315343303369923e-05,4.5800404207055165e-06
23.0,16.0,0.049139961751302086,-0.0026673177083333336,0.03246063028971354,1.9140126963602663e-05,1.4329516017556482e-05,8.081682122580848e-06
24.0,16.0,0.053674489339192714,-0.0020630167643229166,0.02414227294921875,2.2896094733769886e-05,8.03319170923959e-06,1.3310795998800575e-05
25.0,16.0,0.05621624755859376,-0.0014412740071614583,0.015938004557291666,9.690184067579804e-07,1.575153008392398e-05,2.354994626158269e-05
26.0,16.0,0.057555716959635426,-0.0008240010579427083,0.008030006917317709,2.59305126731544e-05,4.8225404374299e-06,1.0025414533942054e-05
27.0,16.0,0.058021561686197924,-0.00016234130859375,0.0002845296223958334,6.350007884993243e-06,1.4843612804113431e-05,1.5321179685031304e-05
28.0,16.0,0.05776649780273438,0.0005062337239583333,-0.007644193522135418,1.6340893797940722e-05,5.711345699186722e-07,5.820329340398613e-06
29.0,16.0,0.05652258097330729,0.0012089375813802085,-0.015864896647135418,1.6782563295291816e-05,1.265103010111905e-05,1.1168104230455347e-05
30.0,16.0,0.053722580973307295,0.0019275675455729167,-0.0243990234375,2.7094516371031893e-05,2.105487864290986e-05,1.8367248226764717e-05
15.0,17.0,0.003061600748697917,-0.00244139404296875,0.036486724853515624,2.1702808693958783e-05,1.9099810935378886e-06,1.1530370835556391e-05
16.0,17.0,0.005290842692057293,-0.002579718017578125,0.03788357340494792,8.2675302765804e-06,1.3211556437991557e-05,1.0668938717039952e-05
17.0,17.0,0.008116094970703125,-0.0026708923339843747,0.039695910644531256,2.572617910520171e-05,1.4700415897811258e-05,9.040480423092064e-06
18.0,17.0,0.011876243082682293,-0.0028052734375,0.04172251180013021,1.8379559029546743e-05,5.339863466209247e-06,2.0070090816043812e-05
19.0,17.0,0.017101084391276042,-0.0030043212890625004,0.04378297932942709,1.2966823141103508e-05,8.432051936592749e-06,1.109126669143096e-05
20.0,17.0,0.024149312337239586,-0.003131711832682292,0.04498065999348958,1.2692657910459688e-05,1.3808158221369085e-05,6.143263182438611e-06
21.0,17.0,0.032938059488932296,-0.0031725341796875004,0.04405578002929688,1.4951855476142519e-06,1.373399247037126e-05,2.9965324180191336e-05
22.0,17.0,0.04190851847330729,-0.0029613789876302087,0.0397391581217448,1.4903272391809581e-05,6.135739183611724e-06,9.082168432224064e-06
23.0,17.0,0.04910279947916666,-0.002531740315755208,0.032531243896484374,1.4483936505272563e-05,4.409359064275455e-06,1.683686692695585e-05
24.0,17.0,0.05368957926432292,-0.0019741739908854168,0.02424769287109375,3.5663787424775524e-05,7.082668722051965e-06,1.91029398238916e-05
25.0,17.0,0.05626715901692709,-0.0013479512532552085,0.016036698404947917,1.0580642630361357e-05,2.948008001752551e-05,1.1139133213195755e-05
26.0,17.0,0.05762235921223959,-0.0007761576334635417,0.008119854736328126,5.107271067832596e-06,1.1236226177071745e-05,1.750821162184064e-05
27.0,17.0,0.0581117919921875,-0.00016724039713541668,0.00035556640625000003,5.007936120060483e-06,3.815334690667676e-07,6.722096341726106e-06
28.0,17.0,0.05785415242513021,0.0004895019531250001,-0.007538773600260416,1.7894222900924672e-05,1.3217055629239646e-05,1.137476596719628e-05
29.0,17.0,0.056641790771484374,0.0011212361653645834,-0.015729638671875,2.102905938339271e-05,4.368776746882339e-06,1.6742616445908045e-05
30.0,17.0,0.05384131673177083,0.0017616373697916668,-0.024228000895182292,1.0820216757253502e-05,1.2420751106287035e-05,2.4476694428616916e-05
15.0,18.0,0.00305733642578125,-0.0022854044596354165,0.03633406982421875,1.4440077829523294e-05,2.450889699499167e-05,1.860015585156427e-05
16.0,18.0,0.005291172281901042,-0.0024118103027343757,0.03773807576497396,4.312309326956795e-06,1.5803029388074183e-05,2.4995598968582232e-05
17.0,18.0,0.008100832112630208,-0.0025665771484375,0.039499176025390624,2.1575207636049802e-05,1.8882510384712788e-05,1.5408678681000022e-05
18.0,18.0,0.011864971923828125,-0.002697049967447917,0.041581766764322924,2.7497303642674404e-05,1.0005702406178463e-05,1.2817690245153897e-05
19.0,18.0,0.017019183349609376,-0.002881746419270833,0.04363565470377604,1.742494812619778e-05,1.324601673486423e-05,1.5219256515134003e-05
20.0,18.0,0.02408327840169271,-0.0030221700032552084,0.04489873250325521,1.3631359497772724e-05,9.273852756725875e-06,1.0746386699477242e-06
21.0,18.0,0.03282752075195313,-0.0030451090494791667,0.043983105468750006,7.759824235220686e-06,1.997337996977158e-05,2.9952038052903504e-05
22.0,18.0,0.04183944905598958,-0.002861800130208333,0.03974911295572917,1.385329211493681e-05,3.07023351522962e-06,1.087156623827568e-05
23.0,18.0,0.04904839884440104,-0.002463287353515625,0.03261787109375,9.870533223337994e-06,7.690305355621139e-06,2.734939289904011e-05
24.0,18.0,0.05368285319010418,-0.0019309427897135417,0.0243314208984375,2.2435953554802692e-05,2.018326603167914e-05,1.9306484743401734e-05
25.0,18.0,0.05632001342773437,-0.0013615437825520835,0.01610693359375,1.2681220621031736e-05,2.683855545277554e-06,1.061181222359158e-05
26.0,18.0,0.05767410074869792,-0.0007836405436197916,0.008203287760416669,1.6301016148018736e-05,1.2418969425664196e-05,5.205811843864238e-06
27.0,18.0,0.05820497639973959,-0.00020075480143229166,0.00043964436848958335,2.5283116533300836e-05,2.333611405781939e-05,1.9502647649446785e-05
28.0,18.0,0.05794557088216146,0.0004106180826822917,-0.007413938395182292,1.9729393314231936e-06,2.028628046841686e-05,1.6120770444720217e-05
29.0,18.0,0.056681803385416674,0.0010123819986979166,-0.015573850504557292,1.8549578002207157e-05,1.7070511798097688e-05,1.5978005532423734e-05
30.0,18.0,0.053918538411458335,0.001651324462890625,-0.02407344156901042,3.4421867994170566e-05,6.994886321456904e-06,3.622429524640501e-06
15.0,19.0,0.0030719319661458334,-0.0021873168945312498,0.0362322998046875,1.4989982821010226e-05,1.4057153992498821e-05,4.080046881736163e-06
16.0,19.0,0.005270225016276042,-0.0022916625976562503,0.037638197835286456,7.881081814458569e-06,1.7637857743241896e-06,1.930555553363857e-05
17.0,19.0,0.008100233968098959,-0.0024215047200520836,0.03943042602539063,1.5304605964225996e-05,1.0540210517760975e-05,1.818275788459048e-05
18.0,19.0,0.011795589192708336,-0.002613450113932292,0.041439640299479163,1.3733105768765071e-05,8.386413088529482e-06,1.2418409473242697e-05
19.0,19.0,0.0169820556640625,-0.00276962890625,0.04352951456705729,6.421144043221579e-06,3.904249950824834e-06,1.7289615733529403e-05
20.0,19.0,0.02401195068359375,-0.002903788248697917,0.04481673380533854,1.0274526057331438e-05,1.6298279638440813e-05,1.8177761759300074e-05
21.0,19.0,0.032789898681640624,-0.0029723063151041672,0.043927459716796874,1.4702508947943766e-05,2.2745008097659204e-05,1.8057752719080642e-05
22.0,19.0,0.0417339558919271,-0.002783052571614583,0.03977282104492188,1.412614472053849e-05,1.563791085997824e-05,6.915745575211911e-06
23.0,19.0,0.04904367268880209,-0.002386405436197917,0.03268102620442708,1.3701250519107308e-05,1.0421721900706372e-05,2.3168362895011034e-05
24.0,19.0,0.05371155598958333,-0.00190201416015625,0.02438443196614584,3.561442783452195e-05,1.092753751348466e-05,1.4527680438292955e-05
25.0,19.0,0.05634498291015625,-0.0013141153971354168,0.01623165690104167,2.0643032480317293e-05,1.3433128737614456e-05,2.51597774064956e-05
26.0,19.0,0.05772961629231771,-0.0007667012532552084,0.008313997395833333,3.5107014523565464e-05,1.4464040305993444e-05,2.0405653761635724e-05
27.0,19.0,0.058227872721354164,-0.00021816406250000004,0.0005726704915364583,3.876450914748813e-05,8.77365457159249e-06,4.575236277451726e-06
28.0,19.0,0.057970121256510417,0.0003723368326822917,-0.007290608723958335,1.2641982852941767e-05,1.359356325881162e-05,1.3937221082872028e-05
29.0,19.0,0.05676651407877604,0.0009951009114583331,-0.015424505615234375,2.2745592802453792e-05,2.0209265495706084e-05,3.2959474159656335e-06
30.0,19.0,0.05398810221354167,0.001600152587890625,-0.023918277994791667,7.809750284971935e-06,1.821042164285083e-05,1.2640737293899674e-05
15.0,20.0,0.0030431193033854166,-0.0020419901529947914,0.036172652180989584,1.011040971528979e-05,5.45826163499626e-06,1.1343260041353013e-05
16.0,20.0,0.005284822591145833,-0.002200860595703125,0.03754894002278646,1.2843596602671646e-05,6.6443507644508875e-06,3.356567449156813e-05
17.0,20.0,0.008074548339843751,-0.0023586710611979166,0.039327374267578125,7.40814947565963e-06,2.55049378659422e-05,1.9472669488564067e-05
18.0,20.0,0.011803804524739584,-0.0025003173828125,0.04138122762044271,1.0309055713284572e-05,1.223148287566249e-05,6.851183526190339e-06
19.0,20.0,0.01694243367513021,-0.0026714070638020836,0.04347599283854167,5.1839280540120405e-06,1.8236235882751218e-05,9.203002396353444e-06
20.0,20.0,0.02393464558919271,-0.0028409566243489583,0.044791212972005216,2.361054084749832e-05,1.7897610427364484e-05,2.539702424487375e-05
21.0,20.0,0.032672705078125,-0.0029041015625,0.0439589111328125,3.3135109969060896e-05,1.083350124901459e-05,1.6247712976959487e-05
22.0,20.0,0.041702484130859384,-0.0027143391927083333,0.03984492390950521,1.5482443743283978e-05,1.0592656007491878e-05,1.589791478519436e-05
23.0,20.0,0.0489977294921875,-0.002341617838541667,0.03277177734375,3.150301076488292e-06,1.0243516936749998e-05,3.806028268229776e-05
24.0,20.0,0.05369138793945313,-0.0018524922688802085,0.024528137207031255,1.0550760801357822e-05,3.554969375855295e-06,4.033701991278276e-06
