#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/3V/icarus
#	Magnetic field strength: 0.16 T
#	Number of Averages: 3
#	Phi End Position: 45 mm
#	Phi Start Position: 45 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
45.0,-90.0,36.46807,11.25194,-73.32210616565382,-88.3708449891015,-0.00437330846354166,0.0013102164225260473,-0.1605158792480469,8.35658198090008e-06,8.818661804384219e-06,4.6739700876069144e-06,0.16058078958818428,0.0005807895881842495,0.36168061551677955,-6.473201624951507,-6.25
45.0,-85.0,35.37967,12.34034,26.223594016391935,-85.55923670039509,0.005513760221354173,0.011193802034505214,-0.16067278028971355,1.780860505081611e-05,2.087220082992272e-05,1.4083128680763365e-05,0.16115658559858123,0.0011565855985812001,0.7176781477997398,-6.144731979130838,-5.92193603515625
45.0,-80.0,34.34437,13.37564,36.10242501040394,-80.71066213008825,0.015392347054036463,0.02110630000000001,-0.15970873203125,1.5025258300045127e-06,2.0467821517541364e-05,2.044906618582593e-05,0.161831020927854,0.0018310209278539769,1.131440015242977,-5.610826860960418,-5.3887939453125
45.0,-75.0,33.41859,14.30132,39.36789971586948,-75.6890306363822,0.025484681038411467,0.03106102208658855,-0.1574978230143229,1.0528421545367389e-05,5.115004244416549e-06,2.81250169247649e-05,0.16254174945208413,0.002541749452084102,1.5637517503362341,-5.017652282006857,-4.7955322265625
45.0,-70.0,32.6235,15.09646,40.982288376163766,-70.44206799292166,0.03586779667968751,0.04128694982096355,-0.15394790236002606,1.2718989472318876e-05,2.0055609554020574e-05,1.5195939357009474e-05,0.16337401171920302,0.003374011719202985,2.06520711813212,-4.483508326034083,-4.26300048828125
45.0,-65.0,31.95593,15.76403,41.96338751162463,-65.08800064631643,0.04619715255533855,0.05137311518554688,-0.14875923251953127,1.9365507906119393e-05,6.743544214039066e-06,9.621727300330685e-06,0.16402037412434062,0.004020374124340587,2.4511431252393194,-4.053243817272316,-3.8311767578125
45.0,-60.0,31.39722,16.32274,42.60680876550288,-59.78525992984678,0.05594193608398438,0.06082189041341147,-0.14189985955403647,1.9645566812752532e-05,6.738967369155399e-06,1.4548284272295831e-05,0.16420832106729824,0.00420832106729821,2.562794041097037,-3.7339507233036624,-3.51226806640625
45.0,-55.0,30.92104,16.79892,43.05036593785867,-54.59972199653252,0.06494538863932292,0.06952277542317709,-0.13387139275716145,2.2753791826992044e-05,1.4551361834770085e-05,1.7431367313392426e-05,0.16423419134515319,0.004234191345153154,2.578142413874474,-3.5061729362197775,-3.2861328125
45.0,-50.0,30.49893,17.22108,43.39974196914591,-49.58441076001498,0.07298759444986978,0.07718291336263021,-0.12474871005859374,7.377534445221548e-06,4.519419664427863e-06,2.060536268546407e-05,0.16384941782015897,0.0038494178201589346,2.3493631355981095,-3.3440918634548855,-3.12164306640625
45.0,-45.0,30.10452,17.61544,43.64808697509399,-44.61309011625339,0.08023166793619792,0.08411008621419273,-0.11468013502604167,1.024847260068582e-05,2.630901575791753e-05,8.22158482311794e-06,0.16328858047142922,0.0032885804714291866,2.0139684366994626,-3.2276991512084723,-3.01116943359375
45.0,-40.0,29.71786,18.00214,43.891123953931086,-39.63392797961353,0.0868528979980469,0.09028150345052084,-0.1037626626953125,2.7801305307383016e-05,3.221239234388216e-06,2.220436670695432e-05,0.1626679621977442,0.002667962197744178,1.6401276328161785,-3.145041206826233,-2.92205810546875
45.0,-35.0,29.3255,18.39451,44.08320542771329,-34.56557849721196,0.09283358647460938,0.09585303461914063,-0.09193490594075522,1.4869925358635635e-05,1.5322402392673164e-05,1.4744214351474756e-05,0.16204291392644252,0.0020429139264424856,1.2607240125105639,-3.0899634502893623,-2.87200927734375
45.0,-30.0,28.92139,18.79856,44.25897849592505,-29.47604924879583,0.09816267583007814,0.10073521845703125,-0.0795005004231771,7.73159574415084e-06,2.609743139905739e-05,1.3567453371017168e-05,0.16156678102643005,0.0015667810264300142,0.9697420574181712,-3.058546942453975,-2.83782958984375
45.0,-25.0,28.50633,19.21363,44.41148951310153,-24.399982110648242,0.10280029790039062,0.1049341055826823,-0.0666359028483073,6.802199532616154e-06,7.3283566689330355e-06,1.4690855141274915e-05,0.16130533565649843,0.001305335656498402,0.8092327827754745,-3.0459847259201127,-2.8265380859375
45.0,-20.0,28.08391,19.63604,44.544923101033056,-19.424466433290945,0.10661883427734375,0.10832608963216146,-0.05359843336588543,4.383958885324522e-06,2.2996008679863622e-05,7.43661109125131e-06,0.16116733408768674,0.001167334087686711,0.724299433439531,-3.0455011710137505,-2.82257080078125
45.0,-15.0,27.65772,20.06223,44.677341604940665,-14.585740514868144,0.10959932744140626,0.11084073806966148,-0.04056152947591146,1.2187105319163674e-05,1.7462888386304164e-05,9.79173645035111e-06,0.16106805848727773,0.001068058487277701,0.6631100525508996,-3.0501386672576034,-2.8277587890625
45.0,-10.0,27.22465,20.49536,44.81270688882126,-9.778038846837314,0.11185921106770834,0.11259292109375,-0.027351759781901047,9.988973883362736e-06,1.3411447531191775e-05,1.0435108311176857e-05,0.16105206532137475,0.0010520653213747233,0.6532454701995639,-3.0558797615175686,-2.833251953125
45.0,-5.0,26.76862,20.95134,44.91987039908947,-4.8350270056969915,0.11336634607747398,0.11368388178710938,-0.01358051547851563,7.968166076443519e-06,1.4238184652524707e-05,1.6792205782568914e-05,0.1611222635199905,0.0011222635199904796,0.69652914220091,-3.062333240747944,-2.840576171875
45.0,0.0,26.32045,21.39956,45.0400684754467,0.025023606983983183,0.11402394902343753,0.11386458043619792,7.037766927082735e-05,2.0030576558721694e-05,1.5908605035648628e-05,1.446621648460585e-05,0.16114157930784717,0.0011415793078471403,0.7084324931843016,-3.063460634569776,-2.84027099609375
45.0,5.0,25.81779,21.90216,45.167945304822965,5.475908721375867,0.11384742111002605,0.11318195104166669,0.015389609847005206,2.322020163120008e-05,8.190915442042273e-06,1.0031679970809884e-05,0.1612706713145477,0.0012706713145476667,0.7879122125493649,-3.0620524834747433,-2.8387451171875
45.0,10.0,25.37069,22.34927,45.295899225285545,10.444704922306087,0.11275465784505208,0.11159600743815105,0.029244222070312496,1.0647000989701271e-05,1.4489537271223147e-05,4.805675291332854e-06,0.1613149288391759,0.0013149288391758607,0.815131524799412,-3.0567760052111352,-2.8350830078125
45.0,15.0,24.9469,22.77306,45.4123940789582,15.32686888430938,0.11082798344726563,0.10924395869140628,0.04265082403971354,1.020526916227776e-05,1.1918571536114737e-05,4.91633121509878e-06,0.16135729675730093,0.0013572967573008965,0.8411747002321313,-3.051837302102877,-2.8289794921875
45.0,20.0,24.5302,23.18976,45.54671431026145,20.301014213593117,0.10799004195963542,0.10594858515625001,0.055964821435546874,2.6821756337817814e-05,1.6879241286740888e-05,1.1131254165180751e-05,0.16130410130361728,0.0013041013036172444,0.8084737418812299,-3.0488898863330154,-2.82684326171875
45.0,25.0,24.11773,23.60222,45.686769507323355,25.427596698081615,0.10406198816731771,0.10159676427408855,0.06914259650065104,9.73050903436287e-06,2.2966671162625612e-05,1.2959496990160283e-05,0.16103260087060486,0.0010326008706048329,0.6412371563411328,-3.053054432530189,-2.83172607421875
45.0,30.0,23.71261,24.0074,45.85364808301916,30.643803431725093,0.09922565597330729,0.0963121288574219,0.0819221741373698,8.884930459832666e-06,7.326842791667174e-06,1.551289902850302e-05,0.1607264744333531,0.0007264744333530804,0.4519942566489384,-3.071341824807668,-2.84881591796875
45.0,35.0,23.31835,24.4017,46.027690488443554,35.82357146851677,0.09354113041992186,0.09024429438476562,0.09382355556640626,1.322829685454564e-05,7.3490941102537995e-06,1.857135693163438e-05,0.16030232477529324,0.0003023247752932112,0.18859662560539942,-3.1098609185715604,-2.88909912109375
45.0,40.0,22.9342,24.78576,46.216090526030484,40.83906644626887,0.08732196741536458,0.08369169428710937,0.10454710699869792,2.5769051803243302e-05,2.273273110318847e-05,1.6223703538539184e-05,0.15987346017314494,-0.00012653982685509324,-0.0791499894466843,-3.172773665125091,-2.950439453125
45.0,45.0,22.55412,25.16583,46.417332554117316,45.699221572972824,0.08061531458333333,0.07672243769531252,0.11403860683593751,5.219216896275553e-06,1.325844976766194e-05,1.75990453490129e-05,0.15934228955416213,-0.0006577104458379002,-0.4127657809349711,-3.263943697344218,-3.040771484375
45.0,50.0,22.16328,25.55662,46.671884591354925,50.39386949231953,0.07367515751953126,0.06949624547526043,0.12240052903645833,1.83913763633467e-05,1.8364745452556257e-05,1.5938742044869838e-05,0.15886990425845382,-0.001130095741546211,-0.7113340609230436,-3.3902967226952554,-3.16802978515625
45.0,55.0,21.7401,25.97985,46.96538051240632,55.088694999739936,0.0662897917154948,0.06189115717773438,0.12994780686848958,1.422117685376614e-07,5.179244508205403e-06,1.3282131028709171e-05,0.15846540421307415,-0.0015345957869258853,-0.9684106095879783,-3.565342577704027,-3.3428955078125
45.0,60.0,21.2576,26.46241,47.31383513645781,59.82609002318127,0.058410814257812506,0.05387383946940105,0.13667254645182295,6.85889793190525e-06,1.5234982513751493e-05,2.9355153645938564e-06,0.1580936391986128,-0.0019063608013872302,-1.2058428226781925,-3.810970438075433,-3.5888671875
45.0,65.0,20.68639,27.03351,47.8352973468897,64.67386922192132,0.050038308561197925,0.045315827587890635,0.1426462769205729,9.341223234395193e-06,9.725964437172865e-06,7.650988862317518e-06,0.1578141846379528,-0.002185815362047233,-1.38505633512082,-4.153721368571354,-3.9306640625
45.0,70.0,20.00031,27.71965,48.56316538950998,69.53243255608277,0.041336196744791685,0.036490015820312506,0.147728230859375,1.7043587952902774e-05,1.7817089426512926e-05,1.5754904363137036e-05,0.1576826959711546,-0.0023173040288454183,-1.4695994475318521,-4.610125810002849,-4.38751220703125
45.0,75.0,19.18241,28.53754,49.721821479584015,74.365562042418,0.03243201583658856,0.027483120882161465,0.15190357265624999,3.0895520354014036e-05,2.972365458816603e-06,2.0664883328661953e-05,0.15773982683641075,-0.002260173163589285,-1.4328487668071754,-5.167888754905393,-4.9456787109375
45.0,80.0,18.23276,29.48725,51.83175296011115,79.1485715257307,0.023428121793619795,0.018415099235026048,0.1554546977376302,1.5475698937483136e-05,2.189625452999397e-05,1.5000152896169665e-05,0.15828504610136268,-0.0017149538986373503,-1.0834592027974184,-5.7788015997756155,-5.5572509765625
45.0,85.0,17.17808,30.54193,57.35257453645318,83.95263588891486,0.014097276660156257,0.009032034456380213,0.15803729254557294,1.4116646579495374e-05,2.0434862805979065e-05,5.2717826350190115e-06,0.15892166841179725,-0.00107833158820278,-0.6785302463655308,-6.301913498420504,-6.07940673828125
45.0,90.0,16.08223,31.63773,105.28492008608602,88.50613155833368,0.0040113005045572985,-0.001096232958984369,0.15945484218750003,1.856862754740021e-05,5.544984880523165e-06,5.342116360884363e-06,0.15950905602967738,-0.0004909439703226492,-0.30778438700766114,-6.59151533048124,-6.36932373046875
