#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/3V/icarus
#	Magnetic field strength: 0.21 T
#	Number of Averages: 3
#	Phi End Position: 90 mm
#	Phi Start Position: 90 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
90.0,-90.0,40.67155,21.40002,-103.3482618533951,-88.79573333856995,-0.004100772249348951,-0.0009730294270833273,-0.2004913431152344,2.7270005708262095e-06,1.6558964499903704e-05,1.9004521479248732e-05,0.2005356371906441,-0.00946436280935592,-4.719541594673466,-10.0,-9.7802734375
90.0,-85.0,39.13191,21.40002,93.9731182620247,-86.16529074623823,0.01379564702148438,-0.0009581816080729116,-0.20631373284505208,1.76599174955342e-05,9.742412105344991e-06,2.128211811284502e-05,0.2067766774788563,-0.003223322521143712,-1.5588423996576253,-10.0,-9.77813720703125
90.0,-80.0,37.66803,21.40002,91.71821339957907,-81.2100491881807,0.032432772672526054,-0.000972901253255202,-0.2098406371419271,3.374423003224815e-06,7.904157731950933e-06,2.0675232729986197e-05,0.21233446323243493,0.0023344632324349135,1.0994273830524912,-9.456295284345419,-9.2364501953125
90.0,-75.0,36.35881,21.40002,91.07475756443704,-76.1240445563552,0.05112452682291668,-0.00095910934244791,-0.20699344679361983,1.865556388429932e-05,2.8428651972593303e-05,5.685317690933244e-06,0.21321567519556583,0.0032156751955658147,1.508179542904775,-8.322476138887463,-8.0999755859375
90.0,-70.0,35.23429,21.40002,90.77771478945945,-70.86236429881589,0.07003179611002605,-0.0009506478352864523,-0.20182953281250002,1.108784806645067e-06,1.4017019488595204e-05,8.794864576146443e-06,0.21363641195502,0.003636411955019986,1.7021498918384816,-7.2651943369939795,-7.0428466796875
90.0,-65.0,34.29015,21.40002,90.6050780222022,-65.4679098656391,0.08870692835286459,-0.0009368335449218695,-0.19437187900390626,1.8046004543630734e-05,4.5765813670605216e-06,8.463567097949895e-06,0.2136591307255562,0.003659130725556181,1.7126020840440053,-6.400796250675548,-6.17950439453125
90.0,-60.0,33.5001,21.40002,90.48147711834328,-60.09751759865776,0.10641631555989584,-0.0008942757649739522,-0.1850516255045573,2.237724375470391e-05,1.687163367465549e-05,1.2346261381982183e-05,0.21346975441117197,0.003469754411171949,1.625407974419049,-5.760056547258853,-5.5364990234375
90.0,-55.0,32.82667,21.40002,90.39009328860938,-54.870637287167455,0.12272632939453125,-0.0008355843587239559,-0.1744358601236979,2.0399779704282203e-05,2.0379842690069827e-05,1.5149252293126534e-05,0.21328459725205154,0.0032845972520515188,1.5400067770341184,-5.307532063258151,-5.08636474609375
90.0,-50.0,32.22955,21.40002,90.3372122695573,-49.79885459892734,0.13746114791666666,-0.0008090320312499946,-0.16265952345377602,1.1320491206371575e-05,2.4470150924113306e-05,4.127385828627167e-06,0.2129655894495747,0.0029655894495746737,1.392520480533714,-4.98971423004235,-4.76898193359375
90.0,-45.0,31.67201,21.40002,90.27677507075576,-44.812083268054,0.15078062830403646,-0.0007283720377604108,-0.14979655551757812,9.501842007187758e-06,1.731266364140075e-05,1.3175773656051712e-06,0.212542552074911,0.00254255207491097,1.1962555498133112,-4.7644047095446815,-4.54559326171875
90.0,-40.0,31.12518,21.40002,90.22840312036622,-39.800016293837245,0.16287668543294273,-0.0006492928548177032,-0.13570489495442709,2.0681322561646268e-05,1.1778080827384367e-05,1.1077632942161323e-05,0.21200248761140794,0.0020024876114079215,0.9445585445574587,-4.606178554516109,-4.38385009765625
90.0,-35.0,30.56999,21.40002,90.17590805314191,-34.71718779640164,0.17381677535807294,-0.000533649544270827,-0.1204341674153646,1.3149562601445512e-05,6.614477126703481e-06,1.8450108552469085e-05,0.21146381453749233,0.0014638145374923084,0.6922293257094232,-4.501668031819186,-4.28009033203125
90.0,-30.0,29.99873,21.40002,90.12347892124542,-29.59820833084391,0.18346126388346354,-0.00039538050130207697,-0.10421315708007813,2.4703969418088657e-05,5.112947579223685e-06,9.131170801310647e-06,0.21099425058530788,0.0009942505853078598,0.47122164824385615,-4.442408874537203,-4.2193603515625
90.0,-25.0,29.41175,21.40002,90.09281550831288,-24.54018969060159,0.1916871875488281,-0.00031052128906249493,-0.08751943352864584,1.2542635011645998e-05,1.4531275670566719e-05,5.087802501402579e-06,0.21072191518450475,0.0007219151845047345,0.3425914119433838,-4.41878832139782,-4.19586181640625
90.0,-20.0,28.81443,21.40002,90.05694689363631,-19.54153153307162,0.19849544763997395,-0.00019728683268228445,-0.07045292555338542,7.183521270616127e-06,1.7306515654743612e-05,1.005509860024233e-05,0.21062786229489883,0.0006278622948988066,0.2980908071980241,-4.417879969370548,-4.19952392578125
90.0,-15.0,28.21159,21.40002,90.01817596156194,-14.698219236984025,0.2035684334798177,-6.457809244791075e-05,-0.05339841912434897,8.28890131119309e-06,1.6315790848465114e-05,1.1513417228287914e-05,0.21045546427863693,0.00045546427863690786,0.21641836680176968,-4.426594112715634,-4.2041015625
90.0,-10.0,27.59916,21.40002,89.98810632460332,-9.891288187188058,0.20734339482421874,4.3041129557296054e-05,-0.03615473015950522,1.3491573358775934e-05,5.611494357593074e-06,6.546287896718581e-06,0.21047196901886323,0.0004719690188632053,0.2242431716980354,-4.437390190807692,-4.21844482421875
90.0,-5.0,26.95419,21.40002,89.95641217029228,-4.960400277164448,0.2098460559570313,0.0001596406575520871,-0.018213020768229168,1.1317172181592326e-05,2.6822093376932883e-05,1.562192595230424e-05,0.21063500851322173,0.0006350085132217076,0.30147339594873074,-4.44953667080722,-4.228515625
90.0,0.0,26.32039,21.40002,89.92377826760087,-0.10446558110986298,0.21071558924153647,0.0002803193684895895,-0.00038419182942709085,2.1144171682363634e-05,7.589595629849446e-06,1.3051344409921473e-05,0.2107161259413196,0.0007161259413195897,0.3398534108960493,-4.451659769733926,-4.23004150390625
90.0,5.0,25.60962,21.40002,89.8956692648694,5.3650751856040895,0.21002569259440104,0.0003824393229166709,0.01972414760742187,1.9531372281865183e-05,9.24278694230216e-06,2.387400155784146e-05,0.21095018323868062,0.0009501832386805964,0.4504301556379816,-4.4490080046718035,-4.22576904296875
90.0,10.0,24.97746,21.40002,89.8512099983829,10.33874497806231,0.20766892379557292,0.0005392915364583403,0.03788505458984375,2.6812832983184165e-05,4.250271776023998e-06,9.061064496844824e-06,0.21109701586485824,0.0010970158648582196,0.5196737909173079,-4.439076385010197,-4.21630859375
90.0,15.0,24.37804,21.40002,89.823185539027,15.220529506241526,0.20380266606445316,0.000628935904947924,0.0554506450032552,1.60894908022045e-05,7.028383683326757e-07,8.455611695417996e-06,0.21121244349381638,0.0012124434938163564,0.5740398026557809,-4.429787437502008,-4.20806884765625
90.0,20.0,23.78872,21.40002,89.79011965209389,20.15864148093376,0.19822175582682297,0.0007261099772135465,0.07276948248697918,3.575060432067674e-06,4.866948955492418e-06,1.1815566916734736e-05,0.21115820917073153,0.0011582091707315056,0.5485030277913743,-4.424246991510585,-4.20166015625
90.0,25.0,23.20532,21.40002,89.74829088076113,25.304189771511176,0.1906208667480469,0.0008374319986979248,0.09012399501953124,9.107694293052772e-06,9.032914898831339e-06,7.63585826452066e-06,0.2108538607908558,0.0008538607908557816,0.40495383278882385,-4.432076052873378,-4.2138671875
90.0,30.0,22.63227,21.40002,89.69202757991546,30.495810837541317,0.18124588912760417,0.0009742300944010467,0.10674568081054688,1.040518724197458e-05,9.193780690612695e-06,1.0797829296445654e-05,0.21034652795242373,0.0003465279524237086,0.16474146533195283,-4.466511170794035,-4.246826171875
