#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/2V/icarus
#	Magnetic field strength: 0.1 T
#	Number of Averages: 3
#	Phi End Position: 0 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
0.0,-90.0,26.31999,7.04091,-90.38893862032262,-87.58610004119276,-0.004060527701822909,-2.7564339192704772e-05,-0.09632494907226563,4.571910299907924e-06,1.0369193858334694e-05,1.0794261369443833e-05,0.09641049973309253,-2.9938664964427506,-2.7716064453125
0.0,-85.0,26.31999,8.57585,-25.690728850567414,-84.4771908744698,-0.004042668815104161,0.008403524934895837,-0.09644514967447916,1.102206861607535e-05,7.734226606423082e-06,1.2041592686834334e-05,0.09689493948712037,-2.9154173374400454,-2.69256591796875
0.0,-80.0,26.31999,10.03913,-13.588704624081458,-79.8742452107765,-0.004035649772135411,0.016695777539062505,-0.09617843214518229,2.6328245219914916e-05,8.398691809296383e-06,5.633191866486212e-06,0.09770018560178192,-2.7778006803739244,-2.55584716796875
0.0,-75.0,26.31999,11.34932,-9.034055839796684,-75.06910149742913,-0.003984060823567702,0.02505796422526042,-0.09515111484375001,2.3770892785909376e-06,9.676130726287202e-06,9.110453442034162e-06,0.09847593090582502,-2.6089224621434597,-2.3870849609375
0.0,-70.0,26.31999,12.47557,-6.6762855950598174,-70.08887217007856,-0.003924059195963533,0.03352366246744793,-0.09318382154947917,3.7558409889383987e-06,1.62482344552647e-05,1.3920299324321196e-05,0.09910831844184413,-2.438932417858077,-2.2210693359375
0.0,-65.0,26.31999,13.42165,-5.125222248373456,-64.99137541747443,-0.00375904861653645,0.04191093460286458,-0.09020362745768229,2.7013801303808156e-06,6.648713838911977e-06,1.8699701271854607e-05,0.09953567848923024,-2.2875091209791747,-2.06512451171875
0.0,-60.0,26.31999,14.21322,-4.0841770659516845,-59.94106004061196,-0.0035610709147135358,0.049872626904296884,-0.08639647820638023,1.1565205297650843e-05,8.82297472539163e-06,1.431037093286222e-05,0.09982139844171865,-2.1638199176084734,-1.94488525390625
0.0,-55.0,26.31999,14.88773,-3.383330486331511,-55.00790408079378,-0.003383017122395827,0.05722386795247397,-0.08189088535156248,1.057037905603049e-05,8.870890194869184e-06,6.590289661746072e-07,0.09996065712046591,-2.0679286022694714,-1.84478759765625
0.0,-50.0,26.31999,15.48546,-2.827038374645846,-50.176198865800906,-0.0031593151367187433,0.06397808548177085,-0.0768175414388021,5.154087981279923e-06,1.9502981285414905e-05,2.221379316843232e-05,0.10002055472125694,-1.9951862609794009,-1.77276611328125
0.0,-45.0,26.31999,16.04336,-2.336747620532741,-45.3008821471109,-0.0028723522460937442,0.07038946040039062,-0.07119185377604166,1.750151789417362e-05,6.608261456493435e-06,1.782904392980138e-05,0.10015591139295323,-1.940568656913959,-1.7181396484375
0.0,-40.0,26.31999,16.59044,-1.976541706857701,-40.34229894980607,-0.002632280631510407,0.0762739981608073,-0.06482048943684897,1.149656787452957e-05,4.389751330813182e-06,3.7821325965813008e-06,0.10013165107792095,-1.9007127941027742,-1.67755126953125
0.0,-35.0,26.31999,17.14543,-1.618395253768079,-35.337875135586216,-0.002306816764322909,0.08164613154296876,-0.05791285190429688,1.4151637997378659e-05,1.1099787578157525e-06,1.1670780549318602e-05,0.10012647309880111,-1.8738230242978424,-1.6522216796875
0.0,-30.0,26.31999,17.71664,-1.3096361036250903,-30.190501523652994,-0.0019783499674479108,0.08653652867838542,-0.05035941359049479,9.810750757467986e-06,1.3883484709562974e-05,1.5192081834747738e-05,0.10014267422770991,-1.8584154559163761,-1.63604736328125
0.0,-25.0,26.31999,18.30346,-1.0488884518298167,-25.02639439510875,-0.0016611787434895771,0.09073214431966148,-0.04236708977864584,1.6552487061741755e-05,2.6687649968651018e-05,2.711236021801627e-06,0.10015014640016028,-1.8520866672293954,-1.632080078125
0.0,-20.0,26.31999,18.90022,-0.8015273846545892,-20.0038229618866,-0.0013161775227864523,0.09407850458984375,-0.0342522358561198,8.389610758060672e-06,6.158216388305677e-06,6.883059772033906e-06,0.10012848251259977,-1.8514484446521955,-1.6290283203125
0.0,-15.0,26.31999,19.50214,-0.5850288968894647,-15.107142483042374,-0.0009859122233072855,0.09655360021158854,-0.02606643263346355,1.6131185994067646e-05,1.163600353409809e-05,8.551409967847187e-06,0.10001514208841694,-1.8534378946058614,-1.630859375
0.0,-10.0,26.31999,20.1136,-0.38230803053950324,-10.252871468258832,-0.0006567638671874931,0.09842649449869793,-0.017803900081380213,1.2358681223253174e-05,8.281965184868597e-06,9.041755453897264e-06,0.10002592172125797,-1.8566955833965584,-1.63482666015625
0.0,-5.0,26.31999,20.75714,-0.17762970894325875,-5.276839760400888,-0.0003089204427083279,0.0996442597981771,-0.009203139176432297,5.952638211820951e-06,6.923138133177467e-06,1.4430453874200778e-05,0.10006883487513642,-1.8608478180526247,-1.64031982421875
0.0,0.0,26.31999,21.39936,0.030740033476923827,-0.32958463750881534,5.3616178385423874e-05,0.09993419306640626,-0.0005748615885416744,4.634564460684366e-06,8.91423558951194e-06,8.771526125822745e-06,0.09993586085272056,-1.8607796688426987,-1.63818359375
0.0,5.0,26.31999,22.10386,0.24750440729801235,5.050637610535789,0.0004301949544270924,0.09958692133789064,0.008801503564453118,1.2566046605320021e-05,1.6293294282216273e-05,1.1405223164431553e-05,0.09997602929829287,-1.8600733684668427,-1.6375732421875
0.0,10.0,26.31999,22.73806,0.45084784182267984,9.983321064395206,0.0007748157226562571,0.09846504837239585,0.017333028222656244,1.6463059509305227e-05,1.3674178459249985e-05,5.4502104810447625e-06,0.09998199816841893,-1.8568372183146895,-1.6339111328125
0.0,15.0,26.31999,23.33825,0.6620952516654744,14.814715108614713,0.0011172310872395869,0.09667759516601564,0.025571594303385414,1.57799510715021e-05,1.4261178268239349e-05,8.195092542436766e-06,0.10000855987165917,-1.854386762823029,-1.6357421875
0.0,20.0,26.31999,23.92803,0.8821696685171144,19.757566052059413,0.001448686572265633,0.0940828848795573,0.03379723924153646,2.995729990481556e-06,1.2513791198516126e-05,6.040701213517037e-06,0.09997970444242343,-1.8532748048185894,-1.63177490234375
0.0,25.0,26.31999,24.51153,1.1332096177883466,24.782690157996083,0.001795651090494799,0.0907773917154948,0.04191996669921875,3.5236279327355047e-06,7.784670429945354e-06,5.905234691940027e-06,0.10000521395192746,-1.8555296808106247,-1.63787841796875
0.0,30.0,26.31999,25.08437,1.3946585990717943,29.925303925198236,0.0021091235839843813,0.08663052892252605,0.049880462711588545,1.0597817111923986e-05,1.2078450137017152e-05,8.23523629558208e-06,0.09998678664709311,-1.864429714798017,-1.64154052734375
0.0,35.0,26.31999,25.64211,1.6825706985002806,35.096711075245906,0.0023999540690104204,0.08170100011393229,0.05743818365885417,2.7272370283472377e-05,2.1124499674650458e-05,8.59904318894149e-06,0.09989974044600108,-1.883057450394842,-1.6607666015625
0.0,40.0,26.31999,26.18486,1.9954098451628617,40.171421276359055,0.002656177620442716,0.07623808914388021,0.06440007534179687,1.2446840151918365e-05,1.859523046923944e-05,1.4612475013603125e-05,0.0998332170166357,-1.9133553921592616,-1.6912841796875
0.0,45.0,26.31999,26.7223,2.3607570922178365,45.064896641776045,0.002901974332682298,0.0703913077311198,0.07061087652994791,5.878038000778077e-06,1.5527436784609392e-05,1.478099636257203e-05,0.09974594499754014,-1.9565711249322966,-1.7352294921875
0.0,50.0,26.31999,27.27459,2.831213028168621,49.90234797006043,0.0031687142415364653,0.06407365229492187,0.07618923549804686,2.461835371105471e-07,1.2658298036309673e-05,9.110937297542295e-06,0.09960056864361723,-2.0146272008985724,-1.79168701171875
0.0,55.0,26.31999,27.87248,3.3276131425671625,54.80482228731589,0.003323969368489589,0.0571686758951823,0.08119314174804687,1.8089173780141494e-05,7.700139665505317e-06,4.2967738515348905e-06,0.09935608961150538,-2.091272585565353,-1.8682861328125
0.0,60.0,26.31999,28.55433,3.972594564110744,59.742868578992486,0.0034577441894531346,0.049790276236979174,0.08555795294596354,1.436082389752422e-05,1.189392799610933e-05,9.720229283304955e-06,0.09905145589509577,-2.191902270940351,-1.96929931640625
0.0,65.0,26.31999,29.36136,4.930677649106486,64.8122678209269,0.003610875292968755,0.04185569575195314,0.08932790330403645,2.376727688791758e-05,8.874227667049084e-06,5.0236601449759074e-06,0.09871378827679914,-2.3211123804080644,-2.09808349609375
0.0,70.0,26.31999,30.33044,6.295781695746769,69.89163263152223,0.0037042285644531318,0.0335751456217448,0.09226333421223958,8.12886244105106e-06,3.0455843047411055e-06,4.203280867122466e-06,0.09825240227464414,-2.4779870393360124,-2.25616455078125
0.0,75.0,26.31999,31.48582,8.428329580343382,74.87194439529785,0.003738711393229175,0.02523216873372396,0.09435184332682293,1.5453659086103256e-05,6.133986304732272e-06,1.1340671840364828e-05,0.09773899242911357,-2.6517814548596954,-2.43194580078125
0.0,80.0,26.31999,32.82723,12.500963097830958,79.74394630081245,0.0037430367513020904,0.01688240473632813,0.09557036749674479,1.0171849342727068e-05,7.290430758953946e-06,5.146341951224918e-06,0.09712219652203942,-2.8208791517113645,-2.60040283203125
0.0,85.0,26.31999,34.31662,23.597969501118598,84.41026733963567,0.0037667122884114668,0.008622496695963551,0.09614120896809897,1.9655603838221623e-05,1.5811655896958363e-05,9.141450520441568e-06,0.09660055710286171,-2.9535853574436954,-2.73040771484375
0.0,90.0,26.31999,35.86314,89.29671944117288,87.76007970916301,0.003764248502604176,4.6206819661461417e-05,0.09624534715169271,2.5223073196707145e-06,9.083389308301534e-06,1.117633358625909e-05,0.09631894180382893,-3.0245535487723365,-2.801513671875
